County,Confirmed,Probable,Cases,Case Rate*,Deaths,Date
Ada,762,56,818,174.1,22,6/1/20
Adams,3,,3,70.6,,6/1/20
Bannock,28,4,32,36.7,1,6/1/20
Bear Lake,,,0,,,6/1/20
Benewah,12,,12,130.1,,6/1/20
Bingham,8,,8,17.3,,6/1/20
Blaine,501,11,512,"2,265.40",5,6/1/20
Boise,,,0,,,6/1/20
Bonner,6,,6,13.4,,6/1/20
Bonneville,26,21,47,40.2,,6/1/20
Boundary,,,0,,,6/1/20
Butte,,,0,,,6/1/20
Camas,1,,1,88.7,,6/1/20
Canyon,286,24,310,138.7,6,6/1/20
Caribou,1,,1,14.2,,6/1/20
Cassia,73,2,75,314.3,1,6/1/20
Clark,,,0,,,6/1/20
Clearwater,,,0,,,6/1/20
Custer,2,,2,46.7,,6/1/20
Elmore,30,1,31,113.7,2,6/1/20
Franklin,7,2,9,,,6/1/20
Fremont,2,1,3,22.8,,6/1/20
Gem,13,4,17,96.4,,6/1/20
Gooding,42,7,49,322.5,,6/1/20
Idaho,3,,3,18.2,,6/1/20
Jefferson,5,2,7,23.8,,6/1/20
Jerome,149,25,174,724.5,2,6/1/20
Kootenai,73,,73,45.2,,6/1/20
Latah,6,1,7,17.4,,6/1/20
Lemhi,1,,1,12.6,,6/1/20
Lewis,,,0,,,6/1/20
Lincoln,30,3,33,615.7,,6/1/20
Madison,13,8,21,53.4,,6/1/20
Minidoka,51,5,56,268.9,,6/1/20
Nez Perce,73,9,82,202.9,19,6/1/20
Oneida,,,0,,,6/1/20
Owyhee,8,,8,68.4,,6/1/20
Payette,19,4,23,97.7,2,6/1/20
Power,6,,6,77.2,,6/1/20
Shoshone,,,0,,,6/1/20
Teton,10,1,11,94.5,,6/1/20
Twin Falls,355,70,425,493.7,23,6/1/20
Valley,2,,2,18.1,,6/1/20
Washington,36,2,38,374,,6/1/20
