Public Health District,County,Cases,Deaths,Date
Panhandle Health District,Kootenai,13,0,3/29/20
Public Health - Idaho North Central District,Idaho,1,0,3/29/20
Public Health - Idaho North Central District,Nez Perce,4,1,3/29/20
Southwest District Health,Canyon,40,1,3/29/20
Southwest District Health,Gem,3,0,3/29/20
Southwest District Health,Owyhee,1,0,3/29/20
Southwest District Health,Payette,1,0,3/29/20
Central District Health,Ada,113,2,3/29/20
Central District Health,Valley,1,0,3/29/20
South Central Public Health District,Blaine,115,2,3/29/20
South Central Public Health District,Cassia,1,0,3/29/20
South Central Public Health District,Lincoln,1,0,3/29/20
South Central Public Health District,Twin Falls,3,0,3/29/20
Southeastern Idaho Public Health,Bannock,3,0,3/29/20
Southeastern Idaho Public Health,Bingham,1,0,3/29/20
Eastern Idaho Public Health,Bonneville,1,0,3/29/20
Eastern Idaho Public Health,Custer,1,0,3/29/20
Eastern Idaho Public Health,Fremont,1,0,3/29/20
Eastern Idaho Public Health,Jefferson,2,0,3/29/20
Eastern Idaho Public Health,Madison,2,0,3/29/20
Eastern Idaho Public Health,Teton,2,0,3/29/20
,TOTAL,310,6,3/29/20
