County,Cases,Deaths,Date,HEALTH_DISTRICT
Ada,517,6,4/12/2020,Central District Health
Adams,1,0,4/12/2020,Southwest District Health
Bannock,5,0,4/12/2020,Southeastern Idaho Public Health
Bear Lake,0,0,4/12/2020,Southeastern Idaho Public Health
Benewah,0,0,4/12/2020,Panhandle Health District
Bingham,2,0,4/12/2020,Southeastern Idaho Public Health
Blaine,454,5,4/12/2020,South Central Public Health District
Boise,0,0,4/12/2020,Central District Health
Bonner,4,0,4/12/2020,Panhandle Health District
Bonneville,13,0,4/12/2020,Eastern Idaho Public Health
Boundary,1,0,4/12/2020,Panhandle Health District
Butte,0,0,4/12/2020,Southeastern Idaho Public Health
Camas,1,0,4/12/2020,South Central Public Health District
Canyon,155,5,4/12/2020,Southwest District Health
Caribou,1,0,4/12/2020,Southeastern Idaho Public Health
Cassia,8,1,4/12/2020,South Central Public Health District
Clark,0,0,4/12/2020,Eastern Idaho Public Health
Clearwater,0,0,4/12/2020,Public Health - Idaho North Central District
Custer,2,0,4/12/2020,Eastern Idaho Public Health
Elmore,16,0,4/12/2020,Central District Health
Franklin,0,0,4/12/2020,Southeastern Idaho Public Health
Fremont,2,0,4/12/2020,Eastern Idaho Public Health
Gem,9,0,4/12/2020,Southwest District Health
Gooding,5,0,4/12/2020,South Central Public Health District
Idaho,3,0,4/12/2020,Public Health - Idaho North Central District
Jefferson,4,0,4/12/2020,Eastern Idaho Public Health
Jerome,29,2,4/12/2020,South Central Public Health District
Kootenai,45,0,4/12/2020,Panhandle Health District
Latah,3,0,4/12/2020,Public Health - Idaho North Central District
Lemhi,0,0,4/12/2020,Eastern Idaho Public Health
Lewis,0,0,4/12/2020,Public Health - Idaho North Central District
Lincoln,15,0,4/12/2020,South Central Public Health District
Madison,5,0,4/12/2020,Eastern Idaho Public Health
Minidoka,5,0,4/12/2020,South Central Public Health District
Nez Perce,19,5,4/12/2020,Public Health - Idaho North Central District
Oneida,0,0,4/12/2020,Southeastern Idaho Public Health
Owyhee,4,0,4/12/2020,Southwest District Health
Payette,8,1,4/12/2020,Southwest District Health
Power,2,0,4/12/2020,Southeastern Idaho Public Health
Shoshone,0,0,4/12/2020,Panhandle Health District
Teton,6,0,4/12/2020,Eastern Idaho Public Health
Twin Falls,79,2,4/12/2020,South Central Public Health District
Valley,2,0,4/12/2020,Central District Health
Washington,1,0,4/12/2020,Southwest District Health
