County,Public Health District,Confirmed,Probable,Cases,Cumulative Incidence Rate²,Daily 7-day Moving Average Incidence Rate³,Deaths
Ada,4,"9,581",647,"10,228","2,123.80",12.8,102
Adams,3,22,1,23,535.6,3.3,
Bannock,6,513,23,536,610.4,7.2,2
Bear Lake,6,24,1,25,408.2,9.3,
Benewah,1,90,0,90,968,15.4,1
Bingham,6,358,12,370,790.4,10.4,4
Blaine,5,574,18,592,"2,571.60",6.2,6
Boise,4,44,12,56,715.1,3.7,1
Bonner,1,186,6,192,419.8,0.9,
Bonneville,7,"1,125",269,"1,394","1,170.80",19.9,6
Boundary,1,42,0,42,343,3.5,
Butte,6,4,0,4,154,16.5,
Camas,5,2,0,2,180.8,12.9,
Canyon,3,"6,274",315,"6,589","2,866.70",23.7,61
Caribou,6,33,1,34,475.2,,
Cassia,5,513,52,565,"2,351.20",12.5,1
Clark,7,12,3,15,"1,775.10",50.7,
Clearwater,2,17,1,18,205.6,1.6,
Custer,7,16,0,16,370.8,16.6,
Elmore,4,218,27,245,890.6,5.7,3
Franklin,6,47,6,53,382,1,
Fremont,7,84,12,96,732.9,5.5,
Gem,3,178,20,198,"1,093.20",7.9,1
Gooding,5,168,20,188,"1,238.60",11.3,1
Idaho,2,38,0,38,228,4.3,
Jefferson,7,243,38,281,940.7,25.8,1
Jerome,5,478,59,537,"2,199.70",14.6,6
Kootenai,1,"2,018",15,"2,033","1,226.90",7.4,22
Latah,2,147,9,156,388.9,11.4,
Lemhi,7,48,13,61,759.9,44.5,
Lewis,2,5,1,6,156.3,7.4,
Lincoln,5,56,7,63,"1,174.10",5.3,
Madison,7,166,38,204,511.2,8.6,
Minidoka,5,482,35,517,"2,457.30",10.2,2
Nez Perce,2,184,17,201,497.4,11,19
Oneida,6,15,3,18,397.3,6.3,
Owyhee,3,257,26,283,"2,393.60",9.7,4
Payette,3,455,40,495,"2,066.70",33.4,4
Power,6,74,2,76,989.5,16.7,
Shoshone,1,175,1,176,"1,366.20",17.7,7
Teton,7,92,15,107,881.2,20,
Twin Falls,5,"1,389",159,"1,548","1,781.80",10,33
Valley,4,74,3,77,675.9,10,1
Washington,3,231,14,245,"2,403.40",28,3
