Public Health District,County,Cases,Deaths,Date
Panhandle Health District,Kootenai,9,0,3/25/20
Public Health - Idaho North Central District,Idaho,1,0,3/25/20
Public Health - Idaho North Central District,Nez Perce,1,0,3/25/20
Southwest District Health,Canyon,8,0,3/25/20
Southwest District Health,Payette,1,0,3/25/20
Central District Health,Ada,37,0,3/25/20
Central District Health,Valley,1,0,3/25/20
South Central Public Health District,Blaine,52,0,3/25/20
South Central Public Health District,Cassia,1,0,3/25/20
South Central Public Health District,Twin Falls,1,0,3/25/20
Southeastern Idaho Public Health,Bannock,3,0,3/25/20
Southeastern Idaho Public Health,Bingham,1,0,3/25/20
Eastern Idaho Public Health,Fremont,1,0,3/25/20
Eastern Idaho Public Health,Jefferson,2,0,3/25/20
Eastern Idaho Public Health,Madison,2,0,3/25/20
Eastern Idaho Public Health,Teton,2,0,3/25/20
,TOTAL,123,0,3/25/20
