County,Confirmed,Probable,Deaths,Date,HEALTH_DISTRICT
Ada,589,33,12,4/21/2020,Central District Health
Adams,3,0,0,4/21/2020,Southwest District Health
Bannock,5,3,0,4/21/2020,Southeastern Idaho Public Health
Bear Lake,0,0,0,4/21/2020,Southeastern Idaho Public Health
Benewah,0,0,0,4/21/2020,Panhandle Health District
Bingham,3,0,0,4/21/2020,Southeastern Idaho Public Health
Blaine,473,7,5,4/21/2020,South Central Public Health District
Boise,0,0,0,4/21/2020,Central District Health
Bonner,4,0,0,4/21/2020,Panhandle Health District
Bonneville,16,8,0,4/21/2020,Eastern Idaho Public Health
Boundary,0,0,0,4/21/2020,Panhandle Health District
Butte,0,0,0,4/21/2020,Southeastern Idaho Public Health
Camas,1,0,0,4/21/2020,South Central Public Health District
Canyon,202,10,6,4/21/2020,Southwest District Health
Caribou,1,0,0,4/21/2020,Southeastern Idaho Public Health
Cassia,11,0,1,4/21/2020,South Central Public Health District
Clark,0,0,0,4/21/2020,Eastern Idaho Public Health
Clearwater,0,0,0,4/21/2020,Public Health - Idaho North Central District
Custer,2,0,0,4/21/2020,Eastern Idaho Public Health
Elmore,23,2,1,4/21/2020,Central District Health
Franklin,0,0,0,4/21/2020,Southeastern Idaho Public Health
Fremont,2,0,0,4/21/2020,Eastern Idaho Public Health
Gem,9,1,0,4/21/2020,Southwest District Health
Gooding,7,1,0,4/21/2020,South Central Public Health District
Idaho,3,0,0,4/21/2020,Public Health - Idaho North Central District
Jefferson,4,1,0,4/21/2020,Eastern Idaho Public Health
Jerome,36,8,2,4/21/2020,South Central Public Health District
Kootenai,52,1,0,4/21/2020,Panhandle Health District
Latah,4,0,0,4/21/2020,Public Health - Idaho North Central District
Lemhi,0,0,0,4/21/2020,Eastern Idaho Public Health
Lewis,0,0,0,4/21/2020,Public Health - Idaho North Central District
Lincoln,18,0,0,4/21/2020,South Central Public Health District
Madison,5,3,0,4/21/2020,Eastern Idaho Public Health
Minidoka,7,3,0,4/21/2020,South Central Public Health District
Nez Perce,35,9,12,4/21/2020,Public Health - Idaho North Central District
Oneida,0,0,0,4/21/2020,Southeastern Idaho Public Health
Owyhee,5,0,0,4/21/2020,Southwest District Health
Payette,10,1,1,4/21/2020,Southwest District Health
Power,2,0,0,4/21/2020,Southeastern Idaho Public Health
Shoshone,0,0,0,4/21/2020,Panhandle Health District
Teton,7,1,0,4/21/2020,Eastern Idaho Public Health
Twin Falls,117,15,11,4/21/2020,South Central Public Health District
Valley,2,0,0,4/21/2020,Central District Health
Washington,1,0,0,4/21/2020,Southwest District Health
