County	Confirmed	Probable	Cases	Case Rate*	Deaths	Date
Ada	750	53	803	170.9	22	5/28/20
Adams	3		3	70.6		5/28/20
Bannock	20	4	24	27.5		5/28/20
Bear Lake			0			5/28/20
Benewah	8	1	9	97.6		5/28/20
Bingham	6		6	13		5/28/20
Blaine	501	11	512	"2,265.40"	5	5/28/20
Boise			0			5/28/20
Bonner	4		4	8.9		5/28/20
Bonneville	23	14	37	31.7		5/28/20
Boundary			0			5/28/20
Butte			0			5/28/20
Camas	1		1	88.7		5/28/20
Canyon	271	23	294	131.5	6	5/28/20
Caribou	1		1	14.2		5/28/20
Cassia	54	2	56	234.7	1	5/28/20
Clark			0			5/28/20
Clearwater			0			5/28/20
Custer	2		2	46.7		5/28/20
Elmore	30	1	31	113.7	2	5/28/20
Franklin			0			5/28/20
Fremont	2	1	3	22.8		5/28/20
Gem	13	4	17	96.4		5/28/20
Gooding	39	7	46	302.7		5/28/20
Idaho	3		3	18.2		5/28/20
Jefferson	5	2	7	23.8		5/28/20
Jerome	138	23	161	670.4	2	5/28/20
Kootenai	67		67	41.5		5/28/20
Latah	6	1	7	17.4		5/28/20
Lemhi	1		1	12.6		5/28/20
Lewis			0			5/28/20
Lincoln	30	3	33	615.7		5/28/20
Madison	13	8	21	53.4		5/28/20
Minidoka	40	5	45	216.1		5/28/20
Nez Perce	73	9	82	202.9	19	5/28/20
Oneida			0			5/28/20
Owyhee	8		8	68.4		5/28/20
Payette	19	4	23	97.7	2	5/28/20
Power	3		3	38.6		5/28/20
Shoshone			0			5/28/20
Teton	10	1	11	94.5		5/28/20
Twin Falls	340	70	410	476.3	23	5/28/20
Valley	2		2	18.1		5/28/20
Washington	33	3	36	354.3		5/28/20
