Public Health District,County,Cases,Deaths,Date
Panhandle Health District,Kootenai,3,0,3/22/20
Southwest District Health,Canyon,3,0,3/22/20
Central District Health,Ada,13,0,3/22/20
Central District Health,Valley,1,0,3/22/20
South Central Public Health District,Blaine,21,0,3/22/20
South Central Public Health District,Twin Falls,1,0,3/22/20
Southeastern Idaho Public Health,Bingham,1,0,3/22/20
Eastern Idaho Public Health,Madison,2,0,3/22/20
Eastern Idaho Public Health,Teton,2,0,3/22/20
,TOTAL,47,0,3/22/20
