County,Confirmed,Probable,Cases,Case Rate*,Deaths,Date
Ada,"2,489",142,"2,631",559.8,23,7/4/20
Adams,10,1,11,258.8,,7/4/20
Bannock,97,15,112,128.5,1,7/4/20
Bear Lake,2,,2,33.1,,7/4/20
Benewah,23,,23,249.3,,7/4/20
Bingham,46,2,48,103.8,,7/4/20
Blaine,527,12,539,"2,384.90",5,7/4/20
Boise,4,,4,52.4,,7/4/20
Bonner,37,1,38,85,,7/4/20
Bonneville,94,37,131,112.1,1,7/4/20
Boundary,1,,1,8.4,,7/4/20
Butte,,,0,,,7/4/20
Camas,1,,1,88.7,,7/4/20
Canyon,"1,174",79,"1,253",560.6,6,7/4/20
Caribou,10,1,11,155.8,,7/4/20
Cassia,224,38,262,"1,097.90",1,7/4/20
Clark,,,0,,,7/4/20
Clearwater,2,,2,22.8,,7/4/20
Custer,4,,4,93.5,,7/4/20
Elmore,62,2,64,234.8,2,7/4/20
Franklin,25,2,27,,,7/4/20
Fremont,7,1,8,60.8,,7/4/20
Gem,34,5,39,221.2,,7/4/20
Gooding,56,10,66,434.3,1,7/4/20
Idaho,5,,5,30.3,,7/4/20
Jefferson,14,5,19,64.5,,7/4/20
Jerome,212,35,247,"1,028.50",5,7/4/20
Kootenai,398,3,401,248.3,1,7/4/20
Latah,20,5,25,62.3,,7/4/20
Lemhi,2,,2,25.1,,7/4/20
Lewis,,,0,,,7/4/20
Lincoln,32,4,36,671.6,,7/4/20
Madison,26,12,38,96.7,,7/4/20
Minidoka,177,25,202,970,,7/4/20
Nez Perce,86,12,98,242.5,19,7/4/20
Oneida,4,,4,89.1,,7/4/20
Owyhee,39,11,50,427.6,,7/4/20
Payette,110,21,131,556.2,2,7/4/20
Power,15,2,17,218.8,,7/4/20
Shoshone,2,,2,15.6,,7/4/20
Teton,20,2,22,189,,7/4/20
Twin Falls,565,97,662,769,25,7/4/20
Unknown,1,,1,,,7/4/20
Valley,17,,17,154,,7/4/20
Washington,105,9,114,"1,121.90",1,7/4/20
