County,Public Health District,Confirmed,Probable,Cases,Cumulative Incidence Rate_,Daily 7-day Moving Average Incidence Rate_,Deaths
Ada,4,"9,321",603,"9,924","2,060.70",15.4,95
Adams,3,21,1,22,512.3,10,
Bannock,6,467,22,489,556.9,11.7,2
Bear Lake,6,21,0,21,342.9,9.3,
Benewah,1,80,0,80,860.4,24.6,1
Bingham,6,328,11,339,724.2,15.6,2
Blaine,5,569,16,585,"2,541.20",5.6,6
Boise,4,41,12,53,676.8,5.5,1
Bonner,1,185,6,191,417.6,4.1,
Bonneville,7,"1,052",229,"1,281","1,075.90",33.7,6
Boundary,1,38,0,38,310.3,3.5,
Butte,6,1,0,1,38.5,5.5,
Camas,5,1,0,1,90.4,,
Canyon,3,"5,988",320,"6,308","2,744.40",28.5,56
Caribou,6,33,1,34,475.2,2,
Cassia,5,496,49,545,"2,268.00",16.1,1
Clark,7,10,1,11,"1,301.80",33.8,
Clearwater,2,16,1,17,194.2,1.6,
Custer,7,11,0,11,254.9,3.3,
Elmore,4,213,21,234,850.6,8.3,3
Franklin,6,46,6,52,374.7,1,
Fremont,7,80,12,92,702.3,9.8,
Gem,3,169,20,189,"1,043.50",7.9,1
Gooding,5,161,19,180,"1,185.80",17.9,1
Idaho,2,34,0,34,204,2.6,
Jefferson,7,209,33,242,810.2,25.4,1
Jerome,5,463,58,521,"2,134.20",26.3,6
Kootenai,1,"1,973",16,"1,989","1,200.40",15.8,20
Latah,2,124,9,133,331.6,12.1,
Lemhi,7,40,5,45,560.6,30.3,
Lewis,2,4,0,4,104.2,14.9,
Lincoln,5,54,7,61,"1,136.80",13.3,
Madison,7,145,35,180,451,5.4,
Minidoka,5,470,33,503,"2,390.80",18.3,2
Nez Perce,2,159,15,174,430.6,5.7,19
Oneida,6,13,3,16,353.1,6.3,
Owyhee,3,250,26,276,"2,334.40",15.7,3
Payette,3,404,39,443,"1,849.60",29.8,3
Power,6,64,2,66,859.3,13,
Shoshone,1,166,0,166,"1,288.60",71,3
Teton,7,84,14,98,807.1,17.7,
Twin Falls,5,"1,366",151,"1,517","1,746.10",16.9,33
Valley,4,71,3,74,649.6,11.3,1
Washington,3,219,15,234,"2,295.50",32.2,3
