County,Confirmed,Probable,Deaths,Date,HEALTH_DISTRICT
Ada,674,43,19,5/6/20,Central District Health
Adams,3,0,0,5/6/20,Southwest District Health
Bannock,8,4,0,5/6/20,Southeastern Idaho Public Health
Bear Lake,0,0,0,5/6/20,Southeastern Idaho Public Health
Benewah,0,0,0,5/6/20,Panhandle Health District
Bingham,4,0,0,5/6/20,Southeastern Idaho Public Health
Blaine,489,10,5,5/6/20,South Central Public Health District
Boise,0,0,0,5/6/20,Central District Health
Bonner,4,0,0,5/6/20,Panhandle Health District
Bonneville,17,11,0,5/6/20,Eastern Idaho Public Health
Boundary,0,0,0,5/6/20,Panhandle Health District
Butte,0,0,0,5/6/20,Southeastern Idaho Public Health
Camas,1,0,0,5/6/20,South Central Public Health District
Canyon,248,22,6,5/6/20,Southwest District Health
Caribou,1,0,0,5/6/20,Southeastern Idaho Public Health
Cassia,13,0,1,5/6/20,South Central Public Health District
Clark,0,0,0,5/6/20,Eastern Idaho Public Health
Clearwater,0,0,0,5/6/20,Public Health - Idaho North Central District
Custer,2,0,0,5/6/20,Eastern Idaho Public Health
Elmore,30,1,2,5/6/20,Central District Health
Franklin,0,0,0,5/6/20,Southeastern Idaho Public Health
Fremont,2,1,0,5/6/20,Eastern Idaho Public Health
Gem,11,3,0,5/6/20,Southwest District Health
Gooding,12,2,0,5/6/20,South Central Public Health District
Idaho,3,0,0,5/6/20,Public Health - Idaho North Central District
Jefferson,4,1,0,5/6/20,Eastern Idaho Public Health
Jerome,54,10,2,5/6/20,South Central Public Health District
Kootenai,61,1,0,5/6/20,Panhandle Health District
Latah,5,0,0,5/6/20,Public Health - Idaho North Central District
Lemhi,1,0,0,5/6/20,Eastern Idaho Public Health
Lewis,0,0,0,5/6/20,Public Health - Idaho North Central District
Lincoln,26,3,0,5/6/20,South Central Public Health District
Madison,7,6,0,5/6/20,Eastern Idaho Public Health
Minidoka,8,3,0,5/6/20,South Central Public Health District
Nez Perce,69,9,18,5/6/20,Public Health - Idaho North Central District
Oneida,0,0,0,5/6/20,Southeastern Idaho Public Health
Owyhee,8,0,0,5/6/20,Southwest District Health
Payette,14,3,2,5/6/20,Southwest District Health
Power,2,0,0,5/6/20,Southeastern Idaho Public Health
Shoshone,0,0,0,5/6/20,Panhandle Health District
Teton,9,1,0,5/6/20,Eastern Idaho Public Health
Twin Falls,193,38,11,5/6/20,South Central Public Health District
Valley,2,0,0,5/6/20,Central District Health
Washington,1,0,0,5/6/20,Southwest District Health
