County,Confirmed,Probable,Deaths,Date,HEALTH_DISTRICT
Ada,687,46,19,5/9/20,Central District Health
Adams,3,0,0,5/9/20,Southwest District Health
Bannock,8,4,0,5/9/20,Southeastern Idaho Public Health
Bear Lake,0,0,0,5/9/20,Southeastern Idaho Public Health
Benewah,0,0,0,5/9/20,Panhandle Health District
Bingham,4,0,0,5/9/20,Southeastern Idaho Public Health
Blaine,493,10,5,5/9/20,South Central Public Health District
Boise,0,0,0,5/9/20,Central District Health
Bonner,4,0,0,5/9/20,Panhandle Health District
Bonneville,17,13,0,5/9/20,Eastern Idaho Public Health
Boundary,0,0,0,5/9/20,Panhandle Health District
Butte,0,0,0,5/9/20,Southeastern Idaho Public Health
Camas,1,0,0,5/9/20,South Central Public Health District
Canyon,252,20,6,5/9/20,Southwest District Health
Caribou,1,0,0,5/9/20,Southeastern Idaho Public Health
Cassia,15,0,1,5/9/20,South Central Public Health District
Clark,0,0,0,5/9/20,Eastern Idaho Public Health
Clearwater,0,0,0,5/9/20,Public Health - Idaho North Central District
Custer,2,0,0,5/9/20,Eastern Idaho Public Health
Elmore,30,1,2,5/9/20,Central District Health
Franklin,0,0,0,5/9/20,Southeastern Idaho Public Health
Fremont,2,1,0,5/9/20,Eastern Idaho Public Health
Gem,12,4,0,5/9/20,Southwest District Health
Gooding,14,3,0,5/9/20,South Central Public Health District
Idaho,3,0,0,5/9/20,Public Health - Idaho North Central District
Jefferson,4,1,0,5/9/20,Eastern Idaho Public Health
Jerome,61,10,2,5/9/20,South Central Public Health District
Kootenai,63,0,0,5/9/20,Panhandle Health District
Latah,5,0,0,5/9/20,Public Health - Idaho North Central District
Lemhi,1,0,0,5/9/20,Eastern Idaho Public Health
Lewis,0,0,0,5/9/20,Public Health - Idaho North Central District
Lincoln,27,2,0,5/9/20,South Central Public Health District
Madison,10,7,0,5/9/20,Eastern Idaho Public Health
Minidoka,8,3,0,5/9/20,South Central Public Health District
Nez Perce,69,9,19,5/9/20,Public Health - Idaho North Central District
Oneida,0,0,0,5/9/20,Southeastern Idaho Public Health
Owyhee,8,0,0,5/9/20,Southwest District Health
Payette,14,3,2,5/9/20,Southwest District Health
Power,2,0,0,5/9/20,Southeastern Idaho Public Health
Shoshone,0,0,0,5/9/20,Panhandle Health District
Teton,10,1,0,5/9/20,Eastern Idaho Public Health
Twin Falls,216,43,11,5/9/20,South Central Public Health District
Valley,2,0,0,5/9/20,Central District Health
Washington,1,0,0,5/9/20,Southwest District Health
