County,Confirmed,Probable,Cases,Case Rate*,Deaths,Date
Ada,827,65,892,189.8,22,6/13/20
Adams,4,,4,94.1,,6/13/20
Bannock,58,5,63,72.3,1,6/13/20
Bear Lake,,,0,,,6/13/20
Benewah,19,,19,205.9,,6/13/20
Bingham,24,,24,51.9,,6/13/20
Blaine,504,11,515,"2,278.70",5,6/13/20
Boise,,,0,,,6/13/20
Bonner,7,,7,15.7,,6/13/20
Bonneville,52,27,79,67.6,,6/13/20
Boundary,,,0,,,6/13/20
Butte,,,0,,,6/13/20
Camas,1,,1,88.7,,6/13/20
Canyon,327,29,356,159.3,6,6/13/20
Caribou,4,1,5,70.8,,6/13/20
Cassia,119,17,136,569.9,1,6/13/20
Clark,,,0,,,6/13/20
Clearwater,,,0,,,6/13/20
Custer,2,,2,46.7,,6/13/20
Elmore,33,1,34,124.7,2,6/13/20
Franklin,12,2,14,,,6/13/20
Fremont,3,1,4,30.4,,6/13/20
Gem,13,4,17,96.4,,6/13/20
Gooding,49,10,59,388.3,,6/13/20
Idaho,3,,3,18.2,,6/13/20
Jefferson,9,3,12,40.8,,6/13/20
Jerome,177,29,206,857.8,3,6/13/20
Kootenai,98,,98,60.7,,6/13/20
Latah,6,1,7,17.4,,6/13/20
Lemhi,1,,1,12.6,,6/13/20
Lewis,,,0,,,6/13/20
Lincoln,31,4,35,653,,6/13/20
Madison,19,10,29,73.8,,6/13/20
Minidoka,87,14,101,485,,6/13/20
Nez Perce,75,9,84,207.9,19,6/13/20
Oneida,,,0,,,6/13/20
Owyhee,8,,8,68.4,,6/13/20
Payette,23,4,27,114.6,2,6/13/20
Power,7,2,9,115.9,,6/13/20
Shoshone,,,0,,,6/13/20
Teton,10,1,11,94.5,,6/13/20
Twin Falls,397,82,479,556.5,26,6/13/20
Valley,3,,3,27.2,,6/13/20
Washington,49,6,55,541.3,,6/13/20
