County,Public Health District,Confirmed ,Probable ,Cases,Cumulative Incidence Rate²,Daily 7-day Moving Average Incidence Rate³,Deaths
Ada,4,"10,143",710,"10,853","2,253.60",10.7,116
Adams,3,24,1,25,582.2,6.7,0
Bannock,6,562,27,589,670.8,4.1,2
Bear Lake,6,29,1,30,489.8,11.7,0
Benewah,1,103,0,103,"1,107.80",16.9,1
Bingham,6,407,12,419,895.1,6.7,5
Blaine,5,580,18,598,"2,597.60",3.1,6
Boise,4,47,12,59,753.4,3.7,1
Bonner,1,198,6,204,446,3.4,0
Bonneville,7,"1,294",302,"1,596","1,340.50",18.8,8
Boundary,1,43,0,43,351.2,1.2,1
Butte,6,4,0,4,154,,0
Camas,5,2,0,2,180.8,,0
Canyon,3,"6,568",382,"6,950","3,023.70",17.8,71
Caribou,6,34,1,35,489.2,,0
Cassia,5,522,51,573,"2,384.50",2.4,3
Clark,7,15,3,18,"2,130.20",33.8,0
Clearwater,2,20,1,21,239.8,1.6,0
Custer,7,19,2,21,486.7,16.6,0
Elmore,4,226,47,273,992.3,7.8,3
Franklin,6,48,6,54,389.2,,0
Fremont,7,91,12,103,786.3,6.5,1
Gem,3,184,21,205,"1,131.80",2.4,2
Gooding,5,179,32,211,"1,390.10",18.8,1
Idaho,2,40,0,40,240,0.9,0
Jefferson,7,286,43,329,"1,101.40",19.6,1
Jerome,5,515,64,579,"2,371.80",21.1,6
Kootenai,1,"2,119",17,"2,136","1,289.10",7.5,29
Latah,2,209,10,219,546,15.7,0
Lemhi,7,51,18,69,859.6,14.2,0
Lewis,2,9,0,9,234.5,11.2,0
Lincoln,5,57,9,66,"1,230.00",8,0
Madison,7,186,40,226,566.3,8.2,0
Minidoka,5,503,37,540,"2,566.70",10.2,2
Nez Perce,2,247,22,269,665.7,15.2,19
Oneida,6,17,3,20,441.4,6.3,0
Owyhee,3,266,27,293,"2,478.20",6,4
Payette,3,527,78,605,"2,526.00",51.3,4
Power,6,102,2,104,"1,354.00",27.9,0
Shoshone,1,190,2,192,"1,490.50",10,12
Teton,7,105,17,122,"1,004.80",16.5,0
Twin Falls,5,"1,462",166,"1,628","1,873.90",9,34
Valley,4,76,3,79,693.5,2.5,1
Washington,3,245,18,263,"2,579.90",14,4
