County,Public Health District,Confirmed,Probable,Cases,Cumulative Incidence Rate²,Daily 7-day Moving Average Incidence Rate³,Deaths
Ada,4,"9,944",648,"10,592","2,199.40",13.2,109
Adams,3,24,1,25,582.2,10,0
Bannock,6,534,23,557,634.3,4.9,2
Bear Lake,6,24,1,25,408.2,7,0
Benewah,1,95,0,95,"1,021.70",23.1,1
Bingham,6,384,12,396,846,9.5,4
Blaine,5,577,18,595,"2,584.60",3.7,6
Boise,4,45,12,57,727.9,3.7,1
Bonner,1,188,6,194,424.1,1.3,0
Bonneville,7,"1,254",286,"1,540","1,293.40",24.8,6
Boundary,1,42,0,42,343,1.2,0
Butte,6,4,0,4,154,11,0
Camas,5,2,0,2,180.8,12.9,0
Canyon,3,"6,451",347,"6,798","2,957.60",21.8,65
Caribou,6,34,1,35,489.2,2,0
Cassia,5,518,52,570,"2,372.00",8.9,1
Clark,7,12,3,15,"1,775.10",0,0
Clearwater,2,19,1,20,228.4,3.3,0
Custer,7,18,0,18,417.1,16.6,0
Elmore,4,221,38,259,941.4,9.4,3
Franklin,6,48,6,54,389.2,1,0
Fremont,7,88,12,100,763.4,3.3,1
Gem,3,184,21,205,"1,131.80",7.9,2
Gooding,5,174,24,198,"1,304.40",14.1,1
Idaho,2,39,0,39,234,2.6,0
Jefferson,7,272,40,312,"1,044.50",24.9,1
Jerome,5,505,63,568,"2,326.70",22.8,6
Kootenai,1,"2,047",15,"2,062","1,244.40",5.7,23
Latah,2,167,9,176,438.8,9.3,0
Lemhi,7,50,13,63,784.9,19.6,0
Lewis,2,6,0,6,156.3,0,0
Lincoln,5,56,7,63,"1,174.10",2.7,0
Madison,7,179,38,217,543.8,8.2,0
Minidoka,5,489,37,526,"2,500.10",13.6,2
Nez Perce,2,211,16,227,561.8,13.1,19
Oneida,6,15,3,18,397.3,6.3,0
Owyhee,3,264,26,290,"2,452.80",10.9,4
Payette,3,499,59,558,"2,329.80",58.5,4
Power,6,88,2,90,"1,171.70",29.8,0
Shoshone,1,181,2,183,"1,420.60",13.3,9
Teton,7,102,16,118,971.8,21.2,0
Twin Falls,5,"1,439",161,"1,600","1,841.70",11.7,33
Valley,4,75,3,78,684.7,2.5,1
Washington,3,241,15,256,"2,511.30",21,3
