County	Confirmed	Probable	Cases	Case Rate*	Deaths	Date
Ada	851	64	915	194.7	22	6/15/20
Adams	6		6	141.2		6/15/20
Bannock	59	5	64	73.4	1	6/15/20
Bear Lake			0			6/15/20
Benewah	18		18	195.1		6/15/20
Bingham	25		25	54.1		6/15/20
Blaine	504	11	515	"2,278.70"	5	6/15/20
Boise			0			6/15/20
Bonner	7		7	15.7		6/15/20
Bonneville	56	30	86	73.6	1	6/15/20
Boundary			0			6/15/20
Butte			0			6/15/20
Camas	1		1	88.7		6/15/20
Canyon	331	29	360	161.1	6	6/15/20
Caribou	4	1	5	70.8		6/15/20
Cassia	123	20	143	599.2	1	6/15/20
Clark			0			6/15/20
Clearwater			0			6/15/20
Custer	2		2	46.7		6/15/20
Elmore	34	1	35	128.4	2	6/15/20
Franklin	13	2	15			6/15/20
Fremont	3	1	4	30.4		6/15/20
Gem	13	4	17	96.4		6/15/20
Gooding	49	10	59	388.3	1	6/15/20
Idaho	3		3	18.2		6/15/20
Jefferson	9	3	12	40.8		6/15/20
Jerome	180	28	208	866.1	3	6/15/20
Kootenai	101		101	62.5		6/15/20
Latah	7	1	8	19.9		6/15/20
Lemhi	2		2	25.1		6/15/20
Lewis			0			6/15/20
Lincoln	31	4	35	653		6/15/20
Madison	19	10	29	73.8		6/15/20
Minidoka	89	14	103	494.6		6/15/20
Nez Perce	75	9	84	207.9	19	6/15/20
Oneida			0			6/15/20
Owyhee	9		9	77		6/15/20
Payette	24	4	28	118.9	2	6/15/20
Power	7	2	9	115.9		6/15/20
Shoshone			0			6/15/20
Teton	10	1	11	94.5		6/15/20
Twin Falls	402	81	483	561.1	25	6/15/20
Valley	3		3	27.2		6/15/20
Washington	51	6	57	561		6/15/20
