County,Confirmed,Probable,Cases,Case Rate*,Deaths,Date
Ada,784,60,844,179.6,22,6/8/20
Adams,3,,3,70.6,,6/8/20
Bannock,44,5,49,56.2,1,6/8/20
Bear Lake,,,0,,,6/8/20
Benewah,18,,18,195.1,,6/8/20
Bingham,22,,22,47.6,,6/8/20
Blaine,503,11,514,"2,274.20",5,6/8/20
Boise,,,0,,,6/8/20
Bonner,6,,6,13.4,,6/8/20
Bonneville,44,20,64,54.8,,6/8/20
Boundary,,,0,,,6/8/20
Butte,,,0,,,6/8/20
Camas,1,,1,88.7,,6/8/20
Canyon,316,29,345,154.4,6,6/8/20
Caribou,3,,3,42.5,,6/8/20
Cassia,103,14,117,490.3,1,6/8/20
Clark,,,0,,,6/8/20
Clearwater,,,0,,,6/8/20
Custer,2,,2,46.7,,6/8/20
Elmore,31,1,32,117.4,2,6/8/20
Franklin,8,1,9,,,6/8/20
Fremont,3,1,4,30.4,,6/8/20
Gem,13,4,17,96.4,,6/8/20
Gooding,47,10,57,375.1,,6/8/20
Idaho,3,,3,18.2,,6/8/20
Jefferson,7,2,9,30.6,,6/8/20
Jerome,171,27,198,824.5,2,6/8/20
Kootenai,85,,85,52.6,,6/8/20
Latah,6,1,7,17.4,,6/8/20
Lemhi,1,,1,12.6,,6/8/20
Lewis,,,0,,,6/8/20
Lincoln,31,3,34,634.3,,6/8/20
Madison,17,10,27,68.7,,6/8/20
Minidoka,72,6,78,374.5,,6/8/20
Nez Perce,74,9,83,205.4,19,6/8/20
Oneida,,,0,,,6/8/20
Owyhee,8,,8,68.4,,6/8/20
Payette,22,4,26,110.4,2,6/8/20
Power,6,1,7,90.1,,6/8/20
Shoshone,,,0,,,6/8/20
Teton,10,1,11,94.5,,6/8/20
Twin Falls,379,77,456,529.7,23,6/8/20
Valley,3,,3,27.2,,6/8/20
Washington,42,4,46,452.7,,6/8/20
