County,Confirmed,Probable,Deaths,Date,HEALTH_DISTRICT
Ada,629,42,16,4/29/20,Central District Health
Adams,3,0,0,4/29/20,Southwest District Health
Bannock,7,4,0,4/29/20,Southeastern Idaho Public Health
Bear Lake,0,0,0,4/29/20,Southeastern Idaho Public Health
Benewah,0,0,0,4/29/20,Panhandle Health District
Bingham,4,0,0,4/29/20,Southeastern Idaho Public Health
Blaine,488,10,5,4/29/20,South Central Public Health District
Boise,0,0,0,4/29/20,Central District Health
Bonner,4,0,0,4/29/20,Panhandle Health District
Bonneville,17,11,0,4/29/20,Eastern Idaho Public Health
Boundary,0,0,0,4/29/20,Panhandle Health District
Butte,0,0,0,4/29/20,Southeastern Idaho Public Health
Camas,1,0,0,4/29/20,South Central Public Health District
Canyon,234,18,6,4/29/20,Southwest District Health
Caribou,1,0,0,4/29/20,Southeastern Idaho Public Health
Cassia,12,0,1,4/29/20,South Central Public Health District
Clark,0,0,0,4/29/20,Eastern Idaho Public Health
Clearwater,0,0,0,4/29/20,Public Health - Idaho North Central District
Custer,2,0,0,4/29/20,Eastern Idaho Public Health
Elmore,28,2,2,4/29/20,Central District Health
Franklin,0,0,0,4/29/20,Southeastern Idaho Public Health
Fremont,2,0,0,4/29/20,Eastern Idaho Public Health
Gem,10,2,0,4/29/20,Southwest District Health
Gooding,9,2,0,4/29/20,South Central Public Health District
Idaho,3,0,0,4/29/20,Public Health - Idaho North Central District
Jefferson,4,1,0,4/29/20,Eastern Idaho Public Health
Jerome,41,10,2,4/29/20,South Central Public Health District
Kootenai,60,1,0,4/29/20,Panhandle Health District
Latah,5,0,0,4/29/20,Public Health - Idaho North Central District
Lemhi,1,0,0,4/29/20,Eastern Idaho Public Health
Lewis,0,0,0,4/29/20,Public Health - Idaho North Central District
Lincoln,24,3,0,4/29/20,South Central Public Health District
Madison,6,4,0,4/29/20,Eastern Idaho Public Health
Minidoka,8,3,0,4/29/20,South Central Public Health District
Nez Perce,51,9,16,4/29/20,Public Health - Idaho North Central District
Oneida,0,0,0,4/29/20,Southeastern Idaho Public Health
Owyhee,8,0,0,4/29/20,Southwest District Health
Payette,14,2,1,4/29/20,Southwest District Health
Power,2,0,0,4/29/20,Southeastern Idaho Public Health
Shoshone,0,0,0,4/29/20,Panhandle Health District
Teton,8,1,0,4/29/20,Eastern Idaho Public Health
Twin Falls,142,28,11,4/29/20,South Central Public Health District
Valley,2,0,0,4/29/20,Central District Health
Washington,1,0,0,4/29/20,Southwest District Health
