County,Public Health District,Confirmed,Probable,Cases,Cumulative Incidence Rate²,Daily 7-day Moving Average Incidence Rate³,Deaths
Ada,4,"9,419",611,"10,030","2,082.70",14.7,95
Adams,3,21,1,22,512.3,3.3,
Bannock,6,485,22,507,577.4,7.2,2
Bear Lake,6,21,0,21,342.9,2.3,
Benewah,1,80,0,80,860.4,10.8,1
Bingham,6,340,11,351,749.8,10.4,2
Blaine,5,571,15,586,"2,545.50",5,6
Boise,4,42,12,54,689.6,3.7,1
Bonner,1,186,6,192,419.8,3.1,
Bonneville,7,"1,096",242,"1,338","1,123.80",29.8,6
Boundary,1,40,0,40,326.7,3.5,
Butte,6,1,0,1,38.5,,
Camas,5,1,0,1,90.4,,
Canyon,3,"6,104",318,"6,422","2,794.00",23.2,58
Caribou,6,33,1,34,475.2,,
Cassia,5,504,49,553,"2,301.30",13.7,1
Clark,7,12,2,14,"1,656.80",101.4,
Clearwater,2,17,1,18,205.6,1.6,
Custer,7,11,0,11,254.9,3.3,
Elmore,4,213,21,234,850.6,6.8,3
Franklin,6,46,6,52,374.7,,
Fremont,7,82,12,94,717.6,7.6,
Gem,3,175,20,195,"1,076.60",9.5,1
Gooding,5,164,19,183,"1,205.60",11.3,1
Idaho,2,36,0,36,216,3.4,
Jefferson,7,225,35,260,870.4,26.3,1
Jerome,5,470,58,528,"2,162.90",21.7,6
Kootenai,1,"1,978",16,"1,994","1,203.40",10.9,21
Latah,2,137,9,146,364,13.2,
Lemhi,7,45,6,51,635.4,33.8,
Lewis,2,5,1,6,156.3,18.6,
Lincoln,5,55,7,62,"1,155.40",8,
Madison,7,155,40,195,488.6,8.2,
Minidoka,5,474,33,507,"2,409.80",16.3,2
Nez Perce,2,172,16,188,465.3,9.6,19
Oneida,6,13,3,16,353.1,,
Owyhee,3,255,26,281,"2,376.70",15.7,4
Payette,3,411,40,451,"1,883.00",20.3,3
Power,6,65,2,67,872.3,3.7,
Shoshone,1,168,0,168,"1,304.10",47.7,3
Teton,7,86,15,101,831.8,22.4,
Twin Falls,5,"1,377",156,"1,533","1,764.50",15.6,33
Valley,4,73,3,76,667.1,13.8,1
Washington,3,226,15,241,"2,364.10",32.2,3
