Public Health District,County,Cases,Deaths,Date
Panhandle Health District,Kootenai,11,0,3/27/20
Public Health - Idaho North Central District,Idaho,1,0,3/27/20
Public Health - Idaho North Central District,Nez Perce,4,1,3/27/20
Southwest District Health,Canyon,23,1,3/27/20
Southwest District Health,Payette,1,0,3/27/20
Central District Health,Ada,75,0,3/27/20
Central District Health,Valley,1,0,3/27/20
South Central Public Health District,Blaine,98,2,3/27/20
South Central Public Health District,Cassia,1,0,3/27/20
South Central Public Health District,Twin Falls,2,0,3/27/20
Southeastern Idaho Public Health,Bannock,4,0,3/27/20
Southeastern Idaho Public Health,Bingham,1,0,3/27/20
Eastern Idaho Public Health,Custer,1,0,3/27/20
Eastern Idaho Public Health,Fremont,1,0,3/27/20
Eastern Idaho Public Health,Jefferson,2,0,3/27/20
Eastern Idaho Public Health,Madison,2,0,3/27/20
Eastern Idaho Public Health,Teton,2,0,3/27/20
,TOTAL,230,4,3/27/20
