County,Confirmed,Probable,Cases,Case Rate*,Deaths,Date
Ada,912,74,986,209.8,22,6/17/20
Adams,8,1,9,211.8,,6/17/20
Bannock,64,5,69,79.2,1,6/17/20
Bear Lake,,,0,,,6/17/20
Benewah,20,,20,216.8,,6/17/20
Bingham,26,,26,56.2,,6/17/20
Blaine,504,11,515,"2,278.70",5,6/17/20
Boise,,,0,,,6/17/20
Bonner,10,,10,22.4,,6/17/20
Bonneville,58,32,90,77,1,6/17/20
Boundary,,,0,,,6/17/20
Butte,,,0,,,6/17/20
Camas,1,,1,88.7,,6/17/20
Canyon,340,29,369,165.1,6,6/17/20
Caribou,5,1,6,85,,6/17/20
Cassia,132,20,152,636.9,1,6/17/20
Clark,,,0,,,6/17/20
Clearwater,,,0,,,6/17/20
Custer,2,,2,46.7,,6/17/20
Elmore,36,1,37,135.7,2,6/17/20
Franklin,15,2,17,,,6/17/20
Fremont,3,1,4,30.4,,6/17/20
Gem,13,4,17,96.4,,6/17/20
Gooding,50,10,60,394.8,1,6/17/20
Idaho,3,,3,18.2,,6/17/20
Jefferson,8,3,11,37.4,,6/17/20
Jerome,184,30,214,891.1,3,6/17/20
Kootenai,105,,105,65,,6/17/20
Latah,7,1,8,19.9,,6/17/20
Lemhi,2,,2,25.1,,6/17/20
Lewis,,,0,,,6/17/20
Lincoln,31,4,35,653,,6/17/20
Madison,20,10,30,76.3,,6/17/20
Minidoka,91,18,109,523.4,,6/17/20
Nez Perce,75,9,84,207.9,19,6/17/20
Oneida,,,0,,,6/17/20
Owyhee,10,8,18,153.9,,6/17/20
Payette,26,4,30,127.4,2,6/17/20
Power,7,2,9,115.9,,6/17/20
Shoshone,,,0,,,6/17/20
Teton,11,1,12,103.1,,6/17/20
Twin Falls,415,84,499,579.7,25,6/17/20
Valley,3,,3,27.2,,6/17/20
Washington,61,9,70,688.9,,6/17/20
