County,Confirmed,Probable,Cases,Case Rate*,Deaths,Date
Ada,706,48,754,160.4,21,5/13/20
Adams,3,,3,70.6,,5/13/20
Bannock,9,4,13,14.9,,5/13/20
Bear Lake,,,0,,,5/13/20
Benewah,,,0,,,5/13/20
Bingham,6,,6,13,,5/13/20
Blaine,496,11,507,"2,243.30",5,5/13/20
Boise,,,0,,,5/13/20
Bonner,4,,4,8.9,,5/13/20
Bonneville,17,13,30,25.7,,5/13/20
Boundary,,,0,,,5/13/20
Butte,,,0,,,5/13/20
Camas,1,,1,88.7,,5/13/20
Canyon,255,20,275,123,6,5/13/20
Caribou,1,,1,14.2,,5/13/20
Cassia,16,,16,67,1,5/13/20
Clark,,,0,,,5/13/20
Clearwater,,,0,,,5/13/20
Custer,2,,2,46.7,,5/13/20
Elmore,30,1,31,113.7,2,5/13/20
Franklin,,,0,,,5/13/20
Fremont,2,1,3,22.8,,5/13/20
Gem,12,4,16,90.7,,5/13/20
Gooding,18,3,21,138.2,,5/13/20
Idaho,3,,3,18.2,,5/13/20
Jefferson,4,1,5,17,,5/13/20
Jerome,70,14,84,349.8,2,5/13/20
Kootenai,64,,64,39.6,,5/13/20
Latah,5,1,6,14.9,,5/13/20
Lemhi,1,,1,12.6,,5/13/20
Lewis,,,0,,,5/13/20
Lincoln,27,2,29,541,,5/13/20
Madison,12,6,18,45.8,,5/13/20
Minidoka,10,3,13,62.4,,5/13/20
Nez Perce,70,9,79,195.5,19,5/13/20
Oneida,,,0,,,5/13/20
Owyhee,8,,8,68.4,,5/13/20
Payette,14,3,17,72.2,2,5/13/20
Power,3,,3,38.6,,5/13/20
Shoshone,,,0,,,5/13/20
Teton,10,1,11,94.5,,5/13/20
Twin Falls,235,53,288,334.6,11,5/13/20
Valley,2,,2,18.1,,5/13/20
Washington,10,0,10,98.4,,5/13/20
