County,Public Health District,Confirmed,Probable,Cases,Cumulative Incidence Rate*,Current Weekly Incidence Rate*,Deaths
Ada,4,"7,364",464,"7,828","1,625.50",18.8,60
Adams,3,17,1,18,419.2,10,
Bannock,6,284,17,301,342.8,5.7,2
Bear Lake,6,6,0,6,98,,
Benewah,1,50,0,50,537.8,13.8,
Bingham,6,173,3,176,376,8.6,2
Blaine,5,553,15,568,"2,467.30",4.3,6
Boise,4,31,7,38,485.3,3.7,1
Bonner,1,140,5,145,317,6.6,
Bonneville,7,568,117,685,575.3,20.9,2
Boundary,1,33,0,33,269.5,5.8,
Butte,6,,,,,,
Camas,5,1,0,1,90.4,,
Canyon,3,"4,533",173,"4,706","2,047.40",41.5,37
Caribou,6,22,1,23,321.5,2,
Cassia,5,413,48,461,"1,918.40",25.6,1
Clark,7,2,0,,,33.8,
Clearwater,2,14,1,15,171.3,1.6,
Custer,7,7,0,7,162.2,,
Elmore,4,191,6,197,716.1,9.4,3
Franklin,6,41,6,47,338.7,2.1,
Fremont,7,37,8,45,343.5,7.6,
Gem,3,139,11,150,828.2,19.7,
Gooding,5,116,15,131,863,14.1,1
Idaho,2,29,0,29,174,2.6,
Jefferson,7,112,19,131,438.6,20.6,1
Jerome,5,364,50,414,"1,695.90",24.6,6
Kootenai,1,"1,527",11,"1,538",928.2,21.2,8
Latah,2,70,8,78,194.5,1.4,
Lemhi,7,11,1,12,149.5,5.3,
Lewis,2,,,,,,
Lincoln,5,44,6,50,931.8,8,
Madison,7,103,28,131,328.3,6.4,
Minidoka,5,386,33,419,"1,991.50",32.6,2
Nez Perce,2,115,15,130,321.7,2.5,19
Oneida,6,8,0,8,176.6,,
Owyhee,3,209,18,227,"1,920.00",52,1
Payette,3,295,28,323,"1,348.60",22.1,2
Power,6,39,2,41,533.8,20.5,
Shoshone,1,67,0,67,520.1,25.5,1
Teton,7,53,4,57,469.4,4.7,
Twin Falls,5,"1,075",124,"1,199","1,380.10",24.8,31
Valley,4,43,3,46,403.8,6.3,1
Washington,3,173,10,183,"1,795.20",26.6,2
