County,Cases,Deaths,Date,HEALTH_DISTRICT
Ada,494,6,4.9.20,Central District Health
Boise,0,0,4.9.20,Central District Health
Elmore,16,0,4.9.20,Central District Health
Valley,2,0,4.9.20,Central District Health
Bonneville,11,0,4.9.20,Eastern Idaho Public Health
Clark,0,0,4.9.20,Eastern Idaho Public Health
Custer,2,0,4.9.20,Eastern Idaho Public Health
Fremont,2,0,4.9.20,Eastern Idaho Public Health
Jefferson,4,0,4.9.20,Eastern Idaho Public Health
Lemhi,0,0,4.9.20,Eastern Idaho Public Health
Madison,5,0,4.9.20,Eastern Idaho Public Health
Teton,6,0,4.9.20,Eastern Idaho Public Health
Benewah,0,0,4.9.20,Panhandle Health District
Bonner,3,0,4.9.20,Panhandle Health District
Boundary,0,0,4.9.20,Panhandle Health District
Kootenai,42,0,4.9.20,Panhandle Health District
Shoshone,0,0,4.9.20,Panhandle Health District
Clearwater,0,0,4.9.20,Public Health - Idaho North Central District
Idaho,3,0,4.9.20,Public Health - Idaho North Central District
Latah,3,0,4.9.20,Public Health - Idaho North Central District
Lewis,0,0,4.9.20,Public Health - Idaho North Central District
Nez Perce,19,5,4.9.20,Public Health - Idaho North Central District
Blaine,446,5,4.9.20,South Central Public Health District
Camas,1,0,4.9.20,South Central Public Health District
Cassia,6,1,4.9.20,South Central Public Health District
Gooding,5,0,4.9.20,South Central Public Health District
Jerome,24,2,4.9.20,South Central Public Health District
Lincoln,14,0,4.9.20,South Central Public Health District
Minidoka,4,0,4.9.20,South Central Public Health District
Twin Falls,70,1,4.9.20,South Central Public Health District
Bannock,5,0,4.9.20,Southeastern Idaho Public Health
Bear Lake,0,0,4.9.20,Southeastern Idaho Public Health
Bingham,2,0,4.9.20,Southeastern Idaho Public Health
Butte,0,0,4.9.20,Southeastern Idaho Public Health
Caribou,1,0,4.9.20,Southeastern Idaho Public Health
Franklin,0,0,4.9.20,Southeastern Idaho Public Health
Oneida,0,0,4.9.20,Southeastern Idaho Public Health
Power,2,0,4.9.20,Southeastern Idaho Public Health
Adams,1,0,4.9.20,Southwest District Health
Canyon,139,4,4.9.20,Southwest District Health
Gem,8,0,4.9.20,Southwest District Health
Owyhee,4,0,4.9.20,Southwest District Health
Payette,8,0,4.9.20,Southwest District Health
Washington,1,0,4.9.20,Southwest District Health
