County,Confirmed,Probable,Cases,Case Rate*,Deaths,Date
Ada,774,59,833,177.2,22,6/4/20
Adams,3,,3,70.6,,6/4/20
Bannock,41,4,45,51.6,1,6/4/20
Bear Lake,,,0,,,6/4/20
Benewah,17,,17,184.3,,6/4/20
Bingham,20,,20,43.3,,6/4/20
Blaine,503,11,514,"2,274.20",5,6/4/20
Boise,,,0,,,6/4/20
Bonner,6,,6,13.4,,6/4/20
Bonneville,40,20,60,51.3,,6/4/20
Boundary,,,0,,,6/4/20
Butte,,,0,,,6/4/20
Camas,1,,1,88.7,,6/4/20
Canyon,308,28,336,150.3,6,6/4/20
Caribou,3,,3,42.5,,6/4/20
Cassia,96,13,109,456.8,1,6/4/20
Clark,,,0,,,6/4/20
Clearwater,,,0,,,6/4/20
Custer,2,,2,46.7,,6/4/20
Elmore,31,1,32,117.4,2,6/4/20
Franklin,7,1,8,,,6/4/20
Fremont,3,1,4,30.4,,6/4/20
Gem,13,4,17,96.4,,6/4/20
Gooding,45,10,55,361.9,,6/4/20
Idaho,3,,3,18.2,,6/4/20
Jefferson,7,2,9,30.6,,6/4/20
Jerome,167,27,194,807.8,2,6/4/20
Kootenai,81,,81,50.2,,6/4/20
Latah,6,1,7,17.4,,6/4/20
Lemhi,1,,1,12.6,,6/4/20
Lewis,,,0,,,6/4/20
Lincoln,30,3,33,615.7,,6/4/20
Madison,17,10,27,68.7,,6/4/20
Minidoka,65,6,71,340.9,,6/4/20
Nez Perce,74,9,83,205.4,19,6/4/20
Oneida,,,0,,,6/4/20
Owyhee,8,,8,68.4,,6/4/20
Payette,22,4,26,110.4,2,6/4/20
Power,6,1,7,90.1,,6/4/20
Shoshone,,,0,,,6/4/20
Teton,10,1,11,94.5,,6/4/20
Twin Falls,367,70,437,507.7,23,6/4/20
Valley,2,,2,18.1,,6/4/20
Washington,42,4,46,452.7,,6/4/20
