County,Confirmed,Probable,Deaths,Date,HEALTH_DISTRICT
Ada,570,28,10,4/19/20,Central District Health
Adams,1,0,0,4/19/20,Southwest District Health
Bannock,5,3,0,4/19/20,Southeastern Idaho Public Health
Bear Lake,0,0,0,4/19/20,Southeastern Idaho Public Health
Benewah,0,0,0,4/19/20,Panhandle Health District
Bingham,3,0,0,4/19/20,Southeastern Idaho Public Health
Blaine,470,6,5,4/19/20,South Central Public Health District
Boise,0,0,0,4/19/20,Central District Health
Bonner,4,0,0,4/19/20,Panhandle Health District
Bonneville,16,8,0,4/19/20,Eastern Idaho Public Health
Boundary,0,0,0,4/19/20,Panhandle Health District
Butte,0,0,0,4/19/20,Southeastern Idaho Public Health
Camas,1,0,0,4/19/20,South Central Public Health District
Canyon,181,6,5,4/19/20,Southwest District Health
Caribou,1,0,0,4/19/20,Southeastern Idaho Public Health
Cassia,10,0,1,4/19/20,South Central Public Health District
Clark,0,0,0,4/19/20,Eastern Idaho Public Health
Clearwater,0,0,0,4/19/20,Public Health - Idaho North Central District
Custer,2,0,0,4/19/20,Eastern Idaho Public Health
Elmore,21,1,0,4/19/20,Central District Health
Franklin,0,0,0,4/19/20,Southeastern Idaho Public Health
Fremont,2,0,0,4/19/20,Eastern Idaho Public Health
Gem,9,1,0,4/19/20,Southwest District Health
Gooding,7,1,0,4/19/20,South Central Public Health District
Idaho,3,0,0,4/19/20,Public Health - Idaho North Central District
Jefferson,4,1,0,4/19/20,Eastern Idaho Public Health
Jerome,36,8,2,4/19/20,South Central Public Health District
Kootenai,51,0,0,4/19/20,Panhandle Health District
Latah,3,0,0,4/19/20,Public Health - Idaho North Central District
Lemhi,0,0,0,4/19/20,Eastern Idaho Public Health
Lewis,0,0,0,4/19/20,Public Health - Idaho North Central District
Lincoln,17,0,0,4/19/20,South Central Public Health District
Madison,5,3,0,4/19/20,Eastern Idaho Public Health
Minidoka,7,3,0,4/19/20,South Central Public Health District
Nez Perce,22,8,11,4/19/20,Public Health - Idaho North Central District
Oneida,0,0,0,4/19/20,Southeastern Idaho Public Health
Owyhee,4,0,0,4/19/20,Southwest District Health
Payette,9,1,1,4/19/20,Southwest District Health
Power,2,0,0,4/19/20,Southeastern Idaho Public Health
Shoshone,0,0,0,4/19/20,Panhandle Health District
Teton,7,1,0,4/19/20,Eastern Idaho Public Health
Twin Falls,105,12,10,4/19/20,South Central Public Health District
Valley,2,0,0,4/19/20,Central District Health
Washington,1,0,0,4/19/20,Southwest District Health
