County,Confirmed,Probable,Cases,Case Rate*,Deaths,Date
Ada,721,52,773,164.5,22,5/16/20
Adams,3,,3,70.6,,5/16/20
Bannock,10,4,14,16.1,,5/16/20
Bear Lake,,,0,,,5/16/20
Benewah,,,0,,,5/16/20
Bingham,6,,6,13,,5/16/20
Blaine,497,11,508,"2,247.70",5,5/16/20
Boise,,,0,,,5/16/20
Bonner,4,,4,8.9,,5/16/20
Bonneville,18,15,33,28.2,,5/16/20
Boundary,,,0,,,5/16/20
Butte,,,0,,,5/16/20
Camas,1,,1,88.7,,5/16/20
Canyon,257,20,277,123.9,6,5/16/20
Caribou,1,,1,14.2,,5/16/20
Cassia,17,1,18,75.4,1,5/16/20
Clark,,,0,,,5/16/20
Clearwater,,,0,,,5/16/20
Custer,2,,2,46.7,,5/16/20
Elmore,30,1,31,113.7,2,5/16/20
Franklin,,,0,,,5/16/20
Fremont,2,1,3,22.8,,5/16/20
Gem,12,4,16,90.7,,5/16/20
Gooding,20,5,25,164.5,,5/16/20
Idaho,3,,3,18.2,,5/16/20
Jefferson,5,2,7,23.8,,5/16/20
Jerome,80,15,95,395.6,2,5/16/20
Kootenai,65,,65,40.2,,5/16/20
Latah,5,1,6,14.9,,5/16/20
Lemhi,1,,1,12.6,,5/16/20
Lewis,,,0,,,5/16/20
Lincoln,27,2,29,541,,5/16/20
Madison,12,7,19,48.3,,5/16/20
Minidoka,12,3,15,72,,5/16/20
Nez Perce,70,9,79,195.5,19,5/16/20
Oneida,,,0,,,5/16/20
Owyhee,8,,8,68.4,,5/16/20
Payette,17,3,20,84.9,2,5/16/20
Power,3,,3,38.6,,5/16/20
Shoshone,,,0,,,5/16/20
Teton,10,1,11,94.5,,5/16/20
Twin Falls,260,58,318,369.4,14,5/16/20
Valley,2,,2,18.1,,5/16/20
Washington,22,1,23,226.4,,5/16/20
