County,Confirmed,Probable,Deaths,Date,HEALTH_DISTRICT
Ada,647,42,16,5/1/2020,Central District Health
Adams,3,0,0,5/1/2020,Southwest District Health
Bannock,7,4,0,5/1/2020,Southeastern Idaho Public Health
Bear Lake,0,0,0,5/1/2020,Southeastern Idaho Public Health
Benewah,0,0,0,5/1/2020,Panhandle Health District
Bingham,4,0,0,5/1/2020,Southeastern Idaho Public Health
Blaine,487,10,5,5/1/2020,South Central Public Health District
Boise,0,0,0,5/1/2020,Central District Health
Bonner,4,0,0,5/1/2020,Panhandle Health District
Bonneville,17,11,0,5/1/2020,Eastern Idaho Public Health
Boundary,0,0,0,5/1/2020,Panhandle Health District
Butte,0,0,0,5/1/2020,Southeastern Idaho Public Health
Camas,1,0,0,5/1/2020,South Central Public Health District
Canyon,244,15,7,5/1/2020,Southwest District Health
Caribou,1,0,0,5/1/2020,Southeastern Idaho Public Health
Cassia,13,0,1,5/1/2020,South Central Public Health District
Clark,0,0,0,5/1/2020,Eastern Idaho Public Health
Clearwater,0,0,0,5/1/2020,Public Health - Idaho North Central District
Custer,2,0,0,5/1/2020,Eastern Idaho Public Health
Elmore,29,1,2,5/1/2020,Central District Health
Franklin,0,0,0,5/1/2020,Southeastern Idaho Public Health
Fremont,2,0,0,5/1/2020,Eastern Idaho Public Health
Gem,11,2,0,5/1/2020,Southwest District Health
Gooding,9,2,0,5/1/2020,South Central Public Health District
Idaho,3,0,0,5/1/2020,Public Health - Idaho North Central District
Jefferson,4,1,0,5/1/2020,Eastern Idaho Public Health
Jerome,44,10,2,5/1/2020,South Central Public Health District
Kootenai,61,1,0,5/1/2020,Panhandle Health District
Latah,5,0,0,5/1/2020,Public Health - Idaho North Central District
Lemhi,1,0,0,5/1/2020,Eastern Idaho Public Health
Lewis,0,0,0,5/1/2020,Public Health - Idaho North Central District
Lincoln,24,3,0,5/1/2020,South Central Public Health District
Madison,7,4,0,5/1/2020,Eastern Idaho Public Health
Minidoka,7,3,0,5/1/2020,South Central Public Health District
Nez Perce,51,9,18,5/1/2020,Public Health - Idaho North Central District
Oneida,0,0,0,5/1/2020,Southeastern Idaho Public Health
Owyhee,8,0,0,5/1/2020,Southwest District Health
Payette,14,2,1,5/1/2020,Southwest District Health
Power,2,0,0,5/1/2020,Southeastern Idaho Public Health
Shoshone,0,0,0,5/1/2020,Panhandle Health District
Teton,8,1,0,5/1/2020,Eastern Idaho Public Health
Twin Falls,160,31,11,5/1/2020,South Central Public Health District
Valley,2,0,0,5/1/2020,Central District Health
Washington,1,0,0,5/1/2020,Southwest District Health
