Public Health District,County,Cases,Deaths,Date
Panhandle Health District,Kootenai,3,0,3/23/20
Southwest District Health,Canyon,4,0,3/23/20
Central District Health,Ada,15,0,3/23/20
Central District Health,Valley,1,0,3/23/20
South Central Public Health District,Blaine,21,0,3/23/20
South Central Public Health District,Twin Falls,1,0,3/23/20
Southeastern Idaho Public Health,Bingham,1,0,3/23/20
Eastern Idaho Public Health,Madison,2,0,3/23/20
Eastern Idaho Public Health,Teton,2,0,3/23/20
,TOTAL,50,0,3/23/20
