County	Confirmed	Probable	Cases	Case Rate*	Deaths	Date
Ada	794	60	854	181.7	22	6/10/20
Adams	3		3	70.6		6/10/20
Bannock	47	5	52	59.7	1	6/10/20
Bear Lake			0			6/10/20
Benewah	19		19	205.9		6/10/20
Bingham	23		23	49.7		6/10/20
Blaine	504	11	515	"2,278.70"	5	6/10/20
Boise			0			6/10/20
Bonner	7		7	15.7		6/10/20
Bonneville	46	22	68	58.2		6/10/20
Boundary			0			6/10/20
Butte			0			6/10/20
Camas	1		1	88.7		6/10/20
Canyon	322	29	351	157	6	6/10/20
Caribou	3		3	42.5		6/10/20
Cassia	107	16	123	515.4	1	6/10/20
Clark			0			6/10/20
Clearwater			0			6/10/20
Custer	2		2	46.7		6/10/20
Elmore	32	1	33	121.1	2	6/10/20
Franklin	9	1	10			6/10/20
Fremont	3	1	4	30.4		6/10/20
Gem	13	4	17	96.4		6/10/20
Gooding	47	10	57	375.1		6/10/20
Idaho	3		3	18.2		6/10/20
Jefferson	7	2	9	30.6		6/10/20
Jerome	173	29	202	841.1	2	6/10/20
Kootenai	91		91	56.3		6/10/20
Latah	6	1	7	17.4		6/10/20
Lemhi	1		1	12.6		6/10/20
Lewis			0			6/10/20
Lincoln	31	3	34	634.3		6/10/20
Madison	17	10	27	68.7		6/10/20
Minidoka	76	9	85	408.2		6/10/20
Nez Perce	75	9	84	207.9	19	6/10/20
Oneida			0			6/10/20
Owyhee	8		8	68.4		6/10/20
Payette	22	4	26	110.4	2	6/10/20
Power	7	2	9	115.9		6/10/20
Shoshone			0			6/10/20
Teton	10	1	11	94.5		6/10/20
Twin Falls	391	78	469	544.8	25	6/10/20
Valley	3		3	27.2		6/10/20
Washington	44	5	49	482.2		6/10/20
