County	Confirmed	Probable	Cases	Case Rate*	Deaths	Date
Ada	"1,215"	92	"1,307"	278.1	22	6/22/20
Adams	9	1	10	235.3		6/22/20
Bannock	75	7	82	94.1	1	6/22/20
Bear Lake			0			6/22/20
Benewah	21		21	227.6		6/22/20
Bingham	30	2	32	69.2		6/22/20
Blaine	509	11	520	"2,300.80"	5	6/22/20
Boise			0			6/22/20
Bonner	15		15	33.5		6/22/20
Bonneville	64	31	95	81.3	1	6/22/20
Boundary			0			6/22/20
Butte			0			6/22/20
Camas	1		1	88.7		6/22/20
Canyon	422	48	470	210.3	6	6/22/20
Caribou	7	1	8	113.3		6/22/20
Cassia	151	22	173	724.9	1	6/22/20
Clark			0			6/22/20
Clearwater			0			6/22/20
Custer	2		2	46.7		6/22/20
Elmore	41	1	42	154.1	2	6/22/20
Franklin	17	2	19			6/22/20
Fremont	3	1	4	30.4		6/22/20
Gem	15	4	19	107.7		6/22/20
Gooding	51	10	61	401.4	1	6/22/20
Idaho	3		3	18.2		6/22/20
Jefferson	11	4	15	51		6/22/20
Jerome	193	32	225	936.9	3	6/22/20
Kootenai	128	1	129	79.9	1	6/22/20
Latah	8	1	9	22.4		6/22/20
Lemhi	2		2	25.1		6/22/20
Lewis			0			6/22/20
Lincoln	31	4	35	653		6/22/20
Madison	21	10	31	78.9		6/22/20
Minidoka	105	19	124	595.4		6/22/20
Nez Perce	77	12	89	220.3	19	6/22/20
Oneida			0			6/22/20
Owyhee	16	12	28	239.5		6/22/20
Payette	36	6	42	178.3	2	6/22/20
Power	14	2	16	206		6/22/20
Shoshone			0			6/22/20
Teton	13	1	14	120.3		6/22/20
Twin Falls	431	87	518	601.8	25	6/22/20
Valley	3		3	27.2		6/22/20
Washington	80	9	89	875.9		6/22/20
