County,Confirmed,Probable,Cases,Case Rate*,Deaths,Date
Ada,747,53,800,170.2,22,5/27/20
Adams,3,,3,70.6,,5/27/20
Bannock,16,4,20,23,,5/27/20
Bear Lake,,,0,,,5/27/20
Benewah,6,1,7,75.9,,5/27/20
Bingham,6,,6,13,,5/27/20
Blaine,501,11,512,"2,265.40",5,5/27/20
Boise,,,0,,,5/27/20
Bonner,4,,4,8.9,,5/27/20
Bonneville,19,14,33,28.2,,5/27/20
Boundary,,,0,,,5/27/20
Butte,,,0,,,5/27/20
Camas,1,,1,88.7,,5/27/20
Canyon,268,23,291,130.2,6,5/27/20
Caribou,1,,1,14.2,,5/27/20
Cassia,48,2,50,209.5,1,5/27/20
Clark,,,0,,,5/27/20
Clearwater,,,0,,,5/27/20
Custer,2,,2,46.7,,5/27/20
Elmore,30,1,31,113.7,2,5/27/20
Franklin,,,0,,,5/27/20
Fremont,2,1,3,22.8,,5/27/20
Gem,13,4,17,96.4,,5/27/20
Gooding,37,7,44,289.5,,5/27/20
Idaho,3,,3,18.2,,5/27/20
Jefferson,5,2,7,23.8,,5/27/20
Jerome,133,23,156,649.6,2,5/27/20
Kootenai,67,,67,41.5,,5/27/20
Latah,6,1,7,17.4,,5/27/20
Lemhi,1,,1,12.6,,5/27/20
Lewis,,,0,,,5/27/20
Lincoln,30,3,33,615.7,,5/27/20
Madison,13,8,21,53.4,,5/27/20
Minidoka,39,4,43,206.5,,5/27/20
Nez Perce,73,9,82,202.9,19,5/27/20
Oneida,,,0,,,5/27/20
Owyhee,8,,8,68.4,,5/27/20
Payette,19,4,23,97.7,2,5/27/20
Power,3,,3,38.6,,5/27/20
Shoshone,,,0,,,5/27/20
Teton,10,1,11,94.5,,5/27/20
Twin Falls,336,68,404,469.3,23,5/27/20
Valley,2,,2,18.1,,5/27/20
Washington,32,2,34,334.6,,5/27/20
