Public Health District,County,Cases,Deaths,Date
Panhandle Health District,Kootenai,3,0,3/24/20
Southwest District Health,Canyon,5,0,3/24/20
Central District Health,Ada,22,0,3/24/20
Central District Health,Valley,1,0,3/24/20
South Central Public Health District,Blaine,33,0,3/24/20
South Central Public Health District,Cassia,1,NA,3/24/20
South Central Public Health District,Twin Falls,1,0,3/24/20
Southeastern Idaho Public Health,Bannock,2,0,3/24/20
Southeastern Idaho Public Health,Bingham,1,0,3/24/20
Eastern Idaho Public Health,Madison,2,0,3/24/20
Eastern Idaho Public Health,Teton,2,0,3/24/20
,TOTAL,73,0,3/24/20
