County,Public Health District,Confirmed ,Probable ,Cases,Cumulative Incidence Rate²,Daily 7-day Moving Average Incidence Rate³,Deaths
Ada,4,"10,342",738,"11,080","2,300.70",12.4,125
Adams,3,24,1,25,582.2,,0
Bannock,6,582,30,612,697,6.4,2
Bear Lake,6,29,1,30,489.8,7,0
Benewah,1,110,0,110,"1,183.10",23.1,1
Bingham,6,433,13,446,952.8,11.9,5
Blaine,5,586,18,604,"2,623.70",5.6,6
Boise,4,49,12,61,779,7.3,1
Bonner,1,206,7,213,465.7,5.6,0
Bonneville,7,"1,406",314,"1,720","1,444.60",21.7,10
Boundary,1,43,0,43,351.2,1.2,1
Butte,6,10,0,10,385.1,33,0
Camas,5,3,1,4,361.7,25.8,0
Canyon,3,"6,730",396,"7,126","3,100.30",19.6,75
Caribou,6,36,3,39,545.1,8,0
Cassia,5,528,52,580,"2,413.60",5.9,4
Clark,7,16,4,20,"2,366.90",67.6,0
Clearwater,2,20,1,21,239.8,1.6,0
Custer,7,28,3,31,718.4,46.4,0
Elmore,4,231,47,278,"1,010.50",6.8,3
Franklin,6,50,6,56,403.6,1,0
Fremont,7,100,11,111,847.4,13.1,2
Gem,3,188,22,210,"1,159.50",3.9,2
Gooding,5,193,31,224,"1,475.70",24.5,1
Idaho,2,40,0,40,240,0.9,0
Jefferson,7,295,46,341,"1,141.60",12.9,1
Jerome,5,531,65,596,"2,441.40",17,6
Kootenai,1,"2,151",18,"2,169","1,309.00",9,29
Latah,2,223,10,233,580.9,15.3,0
Lemhi,7,52,18,70,872.1,14.2,0
Lewis,2,9,0,9,234.5,3.7,0
Lincoln,5,58,9,67,"1,248.60",10.7,0
Madison,7,195,40,235,588.9,6.1,0
Minidoka,5,515,37,552,"2,623.70",17.7,2
Nez Perce,2,262,22,284,702.8,16.6,19
Oneida,6,18,3,21,463.5,9.5,0
Owyhee,3,272,28,300,"2,537.40",10.9,5
Payette,3,569,83,652,"2,722.20",56.7,4
Power,6,111,2,113,"1,471.20",22.3,0
Shoshone,1,194,2,196,"1,521.50",14.4,15
Teton,7,108,17,125,"1,029.50",9.4,0
Twin Falls,5,"1,498",167,"1,665","1,916.50",10.7,34
Valley,4,78,6,84,737.4,7.5,1
Washington,3,250,18,268,"2,629.00",14,4
