County,Confirmed,Probable,Cases,Case Rate*,Deaths,Date
Ada,738,53,791,168.3,23,5/21/20
Adams,3,,3,70.6,,5/21/20
Bannock,12,4,16,18.4,,5/21/20
Bear Lake,,,0,,,5/21/20
Benewah,,,0,,,5/21/20
Bingham,6,,6,13,,5/21/20
Blaine,499,11,510,"2,256.50",5,5/21/20
Boise,,,0,,,5/21/20
Bonner,4,,4,8.9,,5/21/20
Bonneville,18,14,32,27.4,,5/21/20
Boundary,,,0,,,5/21/20
Butte,,,0,,,5/21/20
Camas,1,,1,88.7,,5/21/20
Canyon,263,20,283,126.6,6,5/21/20
Caribou,1,,1,14.2,,5/21/20
Cassia,20,1,21,88,1,5/21/20
Clark,,,0,,,5/21/20
Clearwater,,,0,,,5/21/20
Custer,2,,2,46.7,,5/21/20
Elmore,30,1,31,113.7,2,5/21/20
Franklin,,,0,,,5/21/20
Fremont,2,1,3,22.8,,5/21/20
Gem,13,4,17,96.4,,5/21/20
Gooding,26,6,32,210.6,,5/21/20
Idaho,3,,3,18.2,,5/21/20
Jefferson,5,2,7,23.8,,5/21/20
Jerome,94,20,114,474.7,2,5/21/20
Kootenai,66,,66,40.9,,5/21/20
Latah,5,1,6,14.9,,5/21/20
Lemhi,1,,1,12.6,,5/21/20
Lewis,,,0,,,5/21/20
Lincoln,27,2,29,541,,5/21/20
Madison,12,8,20,50.9,,5/21/20
Minidoka,21,4,25,120,,5/21/20
Nez Perce,72,9,81,200.5,19,5/21/20
Oneida,,,0,,,5/21/20
Owyhee,9,,9,77,,5/21/20
Payette,19,4,23,97.7,2,5/21/20
Power,3,,3,38.6,,5/21/20
Shoshone,,,0,,,5/21/20
Teton,10,1,11,94.5,,5/21/20
Twin Falls,283,65,348,404.3,17,5/21/20
Valley,2,,2,18.1,,5/21/20
Washington,31,2,33,324.8,,5/21/20
