County,Public Health District,Confirmed,Probable,Cases,Cumulative Incidence Rate*,Current Weekly Incidence Rate*,Deaths
Benewah,1,51,0,51,548.5,13.8,
Bonner,1,147,5,152,332.3,5.9,
Boundary,1,33,0,33,269.5,5.8,
Kootenai,1,"1,563",11,"1,574",949.9,21.6,13
Shoshone,1,73,0,73,566.7,32.2,2
Clearwater,2,14,1,15,171.3,1.6,
Idaho,2,29,0,29,174,4.3,
Latah,2,71,8,79,197,2.9,
Lewis,2,,,,,,
Nez Perce,2,115,15,130,321.7,2.8,19
Adams,3,17,1,18,419.2,3.3,
Canyon,3,"4,606",172,"4,778","2,078.80",37.7,37
Gem,3,140,11,151,833.7,18.9,
Owyhee,3,214,18,232,"1,962.30",52,1
Payette,3,298,28,326,"1,361.10",26.8,2
Washington,3,176,13,189,"1,854.00",30.8,2
Ada,4,"7,535",469,"8,004","1,662.00",21.8,62
Boise,4,31,7,38,485.3,7.3,1
Elmore,4,194,6,200,727,9.9,3
Valley,4,43,3,46,403.8,3.8,1
Blaine,5,554,15,569,"2,471.70",5.6,6
Camas,5,1,0,1,90.4,,
Cassia,5,424,48,472,"1,964.20",41,1
Gooding,5,119,15,134,882.8,17.9,1
Jerome,5,370,50,420,"1,720.50",30.4,6
Lincoln,5,44,6,50,931.8,5.3,
Minidoka,5,396,32,428,"2,034.30",41.4,2
Twin Falls,5,"1,082",124,"1,206","1,388.20",30.3,31
Bannock,6,285,17,302,343.9,5.5,2
Bear Lake,6,6,0,6,98,,
Bingham,6,175,4,179,382.4,8.6,2
Butte,6,,,,,,
Caribou,6,22,1,23,321.5,4,
Franklin,6,41,6,47,338.7,2.1,
Oneida,6,8,0,8,176.6,,
Power,6,40,2,42,546.8,22.3,
Bonneville,7,592,117,709,595.5,22.3,2
Clark,7,2,0,,,33.8,
Custer,7,7,0,7,162.2,,
Fremont,7,42,8,50,381.7,14.2,
Jefferson,7,116,19,135,451.9,22,1
Lemhi,7,11,1,12,149.5,7.1,
Madison,7,104,28,132,330.8,5.4,
Teton,7,54,4,58,477.7,7.1,
