Public Health District,County,Cases,Deaths,Date
Panhandle Health District,Kootenai,9,0,3/26/20
Public Health - Idaho North Central District,Idaho,1,0,3/26/20
Public Health - Idaho North Central District,Nez Perce,4,0,3/26/20
Southwest District Health,Canyon,21,1,3/26/20
Southwest District Health,Payette,1,0,3/26/20
Central District Health,Ada,53,0,3/26/20
Central District Health,Valley,1,0,3/26/20
South Central Public Health District,Blaine,86,2,3/26/20
South Central Public Health District,Cassia,1,0,3/26/20
South Central Public Health District,Twin Falls,1,0,3/26/20
Southeastern Idaho Public Health,Bannock,2,0,3/26/20
Southeastern Idaho Public Health,Bingham,1,0,3/26/20
Eastern Idaho Public Health,Custer,1,0,3/26/20
Eastern Idaho Public Health,Fremont,1,0,3/26/20
Eastern Idaho Public Health,Jefferson,2,0,3/26/20
Eastern Idaho Public Health,Madison,2,0,3/26/20
Eastern Idaho Public Health,Teton,2,0,3/26/20
,TOTAL,189,3,3/26/20
