County,Confirmed,Probable,Deaths,Date,HEALTH_DISTRICT
Ada,680,41,19,5/7/2020,Central District Health
Adams,3,0,0,5/7/2020,Southwest District Health
Bannock,8,4,0,5/7/2020,Southeastern Idaho Public Health
Bear Lake,0,0,0,5/7/2020,Southeastern Idaho Public Health
Benewah,0,0,0,5/7/2020,Panhandle Health District
Bingham,4,0,0,5/7/2020,Southeastern Idaho Public Health
Blaine,489,10,5,5/7/2020,South Central Public Health District
Boise,0,0,0,5/7/2020,Central District Health
Bonner,4,0,0,5/7/2020,Panhandle Health District
Bonneville,17,11,0,5/7/2020,Eastern Idaho Public Health
Boundary,0,0,0,5/7/2020,Panhandle Health District
Butte,0,0,0,5/7/2020,Southeastern Idaho Public Health
Camas,1,0,0,5/7/2020,South Central Public Health District
Canyon,251,21,6,5/7/2020,Southwest District Health
Caribou,1,0,0,5/7/2020,Southeastern Idaho Public Health
Cassia,13,0,1,5/7/2020,South Central Public Health District
Clark,0,0,0,5/7/2020,Eastern Idaho Public Health
Clearwater,0,0,0,5/7/2020,Public Health - Idaho North Central District
Custer,2,0,0,5/7/2020,Eastern Idaho Public Health
Elmore,30,1,2,5/7/2020,Central District Health
Franklin,0,0,0,5/7/2020,Southeastern Idaho Public Health
Fremont,2,1,0,5/7/2020,Eastern Idaho Public Health
Gem,11,3,0,5/7/2020,Southwest District Health
Gooding,14,2,0,5/7/2020,South Central Public Health District
Idaho,3,0,0,5/7/2020,Public Health - Idaho North Central District
Jefferson,4,1,0,5/7/2020,Eastern Idaho Public Health
Jerome,55,10,2,5/7/2020,South Central Public Health District
Kootenai,61,1,0,5/7/2020,Panhandle Health District
Latah,5,0,0,5/7/2020,Public Health - Idaho North Central District
Lemhi,1,0,0,5/7/2020,Eastern Idaho Public Health
Lewis,0,0,0,5/7/2020,Public Health - Idaho North Central District
Lincoln,27,2,0,5/7/2020,South Central Public Health District
Madison,9,7,0,5/7/2020,Eastern Idaho Public Health
Minidoka,8,3,0,5/7/2020,South Central Public Health District
Nez Perce,69,9,19,5/7/2020,Public Health - Idaho North Central District
Oneida,0,0,0,5/7/2020,Southeastern Idaho Public Health
Owyhee,8,0,0,5/7/2020,Southwest District Health
Payette,14,3,2,5/7/2020,Southwest District Health
Power,2,0,0,5/7/2020,Southeastern Idaho Public Health
Shoshone,0,0,0,5/7/2020,Panhandle Health District
Teton,9,1,0,5/7/2020,Eastern Idaho Public Health
Twin Falls,199,40,11,5/7/2020,South Central Public Health District
Valley,2,0,0,5/7/2020,Central District Health
Washington,1,0,0,5/7/2020,Southwest District Health
