County,Public Health District,Confirmed,Probable,Cases,Cumulative Incidence Rate_,Daily 7-day Moving Average Incidence Rate_,Deaths
Ada,4,"10,487",780,"11,267","2,339.60",11,127
Adams,3,24,1,25,582.2,,0
Bannock,6,592,32,624,710.6,4.2,2
Bear Lake,6,29,1,30,489.8,,0
Benewah,1,116,0,116,"1,247.60",15.4,2
Bingham,6,438,13,451,963.4,7,5
Blaine,5,588,18,606,"2,632.40",4.3,6
Boise,4,50,12,62,791.7,5.5,1
Bonner,1,208,7,215,470.1,3.8,0
Bonneville,7,"1,483",334,"1,817","1,526.10",22.8,11
Boundary,1,44,0,44,359.3,1.2,1
Butte,6,12,0,12,462.1,33,0
Camas,5,3,1,4,361.7,25.8,0
Canyon,3,"6,858",403,"7,261","3,159.00",17.7,80
Caribou,6,37,3,40,559,10,0
Cassia,5,531,53,584,"2,430.30",5.9,4
Clark,7,17,4,21,"2,485.20",50.7,0
Clearwater,2,20,1,21,239.8,1.6,0
Custer,7,31,6,37,857.5,53,0
Elmore,4,240,48,288,"1,046.90",7.3,3
Franklin,6,51,6,57,410.8,2.1,0
Fremont,7,103,12,115,877.9,13.1,2
Gem,3,190,22,212,"1,170.50",4.7,2
Gooding,5,200,32,232,"1,528.40",16.9,1
Idaho,2,43,0,43,258,2.6,0
Jefferson,7,314,48,362,"1,211.90",15.8,1
Jerome,5,537,66,603,"2,470.10",14,6
Kootenai,1,"2,180",20,"2,200","1,327.70",5.5,30
Latah,2,235,10,245,610.9,8.6,0
Lemhi,7,52,18,70,872.1,1.8,0
Lewis,2,9,0,9,234.5,,0
Lincoln,5,58,9,67,"1,248.60",2.7,0
Madison,7,210,42,252,631.5,10,0
Minidoka,5,519,37,556,"2,642.70",12.9,2
Nez Perce,2,278,23,301,744.9,9.9,19
Oneida,6,18,3,21,463.5,3.2,0
Owyhee,3,277,28,305,"2,579.70",12.1,5
Payette,3,606,84,690,"2,880.90",46.5,4
Power,6,117,2,119,"1,549.30",13,0
Shoshone,1,195,2,197,"1,529.30",5.5,15
Teton,7,109,17,126,"1,037.70",4.7,0
Twin Falls,5,"1,516",173,"1,689","1,944.10",10.2,34
Valley,4,78,6,84,737.4,6.3,1
Washington,3,264,20,284,"2,786.00",26.6,4
