County,Public Health District,Confirmed,Probable,Cases,Cumulative Incidence Rate*,Current Weekly Incidence Rate*,Deaths
Benewah,1,49,0,49,527,13.8,
Bonner,1,138,5,143,312.6,6.6,
Boundary,1,33,0,33,269.5,5.8,
Kootenai,1,"1,487",12,"1,499",904.7,21.2,8
Shoshone,1,60,0,60,465.8,25.5,1
Clearwater,2,14,1,15,171.3,1.6,
Idaho,2,27,0,27,162,2.6,
Latah,2,66,8,74,184.5,1.4,
Lewis,2,,,,,,
Nez Perce,2,114,15,129,319.2,2.5,19
Adams,3,17,1,18,419.2,10,
Canyon,3,"4,433",162,"4,595","1,999.10",41.5,34
Gem,3,136,8,144,795.1,19.7,
Owyhee,3,205,18,223,"1,886.20",52,
Payette,3,286,25,311,"1,298.50",22.1,2
Washington,3,171,10,181,"1,775.60",26.6,2
Ada,4,"7,222",459,"7,681","1,594.90",18.8,55
Boise,4,28,7,35,446.9,3.7,1
Elmore,4,180,6,186,676.1,9.4,2
Valley,4,43,3,46,403.8,6.3,1
Blaine,5,552,15,567,"2,463.00",4.3,6
Camas,5,1,0,1,90.4,,
Cassia,5,405,43,448,"1,864.30",25.6,1
Gooding,5,113,15,128,843.3,14.1,1
Jerome,5,358,51,409,"1,675.40",24.6,6
Lincoln,5,44,6,50,931.8,8,
Minidoka,5,384,32,416,"1,977.30",32.6,2
Twin Falls,5,"1,048",123,"1,171","1,347.90",24.8,30
Bannock,6,282,17,299,340.5,5.7,2
Bear Lake,6,6,0,6,98,,
Bingham,6,171,2,173,369.6,8.6,2
Butte,6,,,,,,
Caribou,6,21,1,22,307.5,2,
Franklin,6,41,6,47,338.7,2.1,
Oneida,6,8,0,8,176.6,,
Power,6,38,2,40,520.8,20.5,
Bonneville,7,522,114,636,534.2,20.9,1
Clark,7,2,0,,,33.8,
Custer,7,7,0,7,162.2,,
Fremont,7,36,8,44,335.9,7.6,
Jefferson,7,104,18,122,408.4,20.6,1
Lemhi,7,10,1,11,137,5.3,
Madison,7,103,28,131,328.3,6.4,
Teton,7,51,4,55,453,4.7,
