County,Public Health District,Confirmed,Probable,Cases,Cumulative Incidence Rate*,Current Weekly Incidence Rate*,Deaths
Benewah,1,49,0,49,527,16.9,
Bonner,1,136,5,141,308.3,10.9,
Boundary,1,32,0,32,261.3,7,
Kootenai,1,"1,415",11,"1,426",860.6,18.6,7
Shoshone,1,59,0,59,458,26.6,1
Clearwater,2,14,1,15,171.3,1.6,
Idaho,2,27,0,27,162,2.6,
Latah,2,66,7,73,182,4.6,
Lewis,2,,,,,,
Nez Perce,2,111,13,124,306.9,1.1,19
Adams,3,17,1,18,419.2,10,
Canyon,3,"4,306",143,"4,449","1,935.60",40.8,34
Gem,3,132,8,140,773,18.1,
Owyhee,3,191,15,206,"1,742.40",41.1,
Payette,3,279,23,302,"1,260.90",20.9,2
Washington,3,168,9,177,"1,736.30",22.4,2
Ada,4,"7,065",450,"7,515","1,560.50",20.4,53
Boise,4,27,7,34,434.2,9.1,1
Elmore,4,178,6,184,668.8,23.9,2
Valley,4,42,3,45,395,5,1
Blaine,5,552,15,567,"2,463.00",4.3,6
Camas,5,1,0,1,90.4,,
Cassia,5,394,41,435,"1,810.20",28.5,1
Gooding,5,111,15,126,830.1,19.8,1
Jerome,5,348,50,398,"1,630.30",21.7,6
Lincoln,5,44,6,50,931.8,10.7,
Minidoka,5,378,31,409,"1,944.00",48.2,2
Twin Falls,5,"1,024",122,"1,146","1,319.10",27,29
Bannock,6,273,17,290,330.3,6.4,2
Bear Lake,6,6,0,6,98,,
Bingham,6,162,2,164,350.3,9.2,2
Butte,6,,,,,,
Caribou,6,21,1,22,307.5,2,
Franklin,6,39,6,45,324.3,6.2,
Oneida,6,8,0,8,176.6,3.2,
Power,6,33,2,35,455.7,16.7,
Bonneville,7,495,108,603,506.5,20.3,1
Clark,7,2,0,,,33.8,
Custer,7,7,0,7,162.2,,
Fremont,7,34,8,42,320.6,6.5,
Jefferson,7,92,17,109,364.9,16.7,1
Lemhi,7,10,1,11,137,7.1,
Madison,7,100,28,128,320.7,5.4,
Teton,7,50,4,54,444.7,5.9,
