County,Confirmed,Probable,Cases,Case Rate*,Deaths,Date
Ada,961,82,"1,043",221.9,22,6/18/20
Adams,8,1,9,211.8,,6/18/20
Bannock,69,5,74,84.9,1,6/18/20
Bear Lake,,,0,,,6/18/20
Benewah,20,,20,216.8,,6/18/20
Bingham,27,,27,58.4,,6/18/20
Blaine,506,11,517,"2,287.50",5,6/18/20
Boise,,,0,,,6/18/20
Bonner,10,,10,22.4,,6/18/20
Bonneville,58,33,91,77.9,1,6/18/20
Boundary,,,0,,,6/18/20
Butte,,,0,,,6/18/20
Camas,1,,1,88.7,,6/18/20
Canyon,346,30,376,168.2,6,6/18/20
Caribou,7,1,8,113.3,,6/18/20
Cassia,138,20,158,662.1,1,6/18/20
Clark,,,0,,,6/18/20
Clearwater,,,0,,,6/18/20
Custer,2,,2,46.7,,6/18/20
Elmore,36,1,37,135.7,2,6/18/20
Franklin,15,2,17,,,6/18/20
Fremont,3,1,4,30.4,,6/18/20
Gem,13,4,17,96.4,,6/18/20
Gooding,50,10,60,394.8,1,6/18/20
Idaho,3,,3,18.2,,6/18/20
Jefferson,9,2,11,37.4,,6/18/20
Jerome,185,31,216,899.4,3,6/18/20
Kootenai,107,,107,66.3,1,6/18/20
Latah,7,1,8,19.9,,6/18/20
Lemhi,2,,2,25.1,,6/18/20
Lewis,,,0,,,6/18/20
Lincoln,31,4,35,653,,6/18/20
Madison,20,10,30,76.3,,6/18/20
Minidoka,93,20,113,542.6,,6/18/20
Nez Perce,75,9,84,207.9,19,6/18/20
Oneida,,,0,,,6/18/20
Owyhee,10,10,20,171,,6/18/20
Payette,28,4,32,135.9,2,6/18/20
Power,12,2,14,180.2,,6/18/20
Shoshone,,,0,,,6/18/20
Teton,11,1,12,103.1,,6/18/20
Twin Falls,418,86,504,585.5,25,6/18/20
Valley,3,,3,27.2,,6/18/20
Washington,70,8,78,767.6,,6/18/20
