County,Confirmed,Probable,Cases,Case Rate*,Deaths,Date
Ada,721,49,770,163.8,22,5/15/20
Adams,3,,3,70.6,,5/15/20
Bannock,10,4,14,16.1,,5/15/20
Bear Lake,,,0,,,5/15/20
Benewah,,,0,,,5/15/20
Bingham,6,,6,13,,5/15/20
Blaine,497,11,508,"2,247.70",5,5/15/20
Boise,,,0,,,5/15/20
Bonner,4,,4,8.9,,5/15/20
Bonneville,17,13,30,25.7,,5/15/20
Boundary,,,0,,,5/15/20
Butte,,,0,,,5/15/20
Camas,1,,1,88.7,,5/15/20
Canyon,257,20,277,123.9,6,5/15/20
Caribou,1,,1,14.2,,5/15/20
Cassia,16,,16,67,1,5/15/20
Clark,,,0,,,5/15/20
Clearwater,,,0,,,5/15/20
Custer,2,,2,46.7,,5/15/20
Elmore,30,1,31,113.7,2,5/15/20
Franklin,,,0,,,5/15/20
Fremont,2,1,3,22.8,,5/15/20
Gem,12,4,16,90.7,,5/15/20
Gooding,19,5,24,157.9,,5/15/20
Idaho,3,,3,18.2,,5/15/20
Jefferson,5,1,6,20.4,,5/15/20
Jerome,73,15,88,366.4,2,5/15/20
Kootenai,64,,64,39.6,,5/15/20
Latah,5,1,6,14.9,,5/15/20
Lemhi,1,,1,12.6,,5/15/20
Lewis,,,0,,,5/15/20
Lincoln,27,2,29,541,,5/15/20
Madison,12,6,18,45.8,,5/15/20
Minidoka,12,3,15,72,,5/15/20
Nez Perce,70,9,79,195.5,19,5/15/20
Oneida,,,0,,,5/15/20
Owyhee,8,,8,68.4,,5/15/20
Payette,17,3,20,84.9,2,5/15/20
Power,3,,3,38.6,,5/15/20
Shoshone,,,0,,,5/15/20
Teton,10,1,11,94.5,,5/15/20
Twin Falls,256,54,310,360.1,14,5/15/20
Valley,2,,2,18.1,,5/15/20
Washington,20,0,20,196.8,,5/15/20
