County,Public Health District,Confirmed,Probable,Cases,Cumulative Incidence Rate²,Daily 7-day Moving Average Incidence Rate³,Deaths
Ada,4,"9,799",651,"10,450","2,169.90",14.1,109
Adams,3,22,1,23,535.6,3.3,
Bannock,6,533,23,556,633.2,8.8,2
Bear Lake,6,24,1,25,408.2,9.3,
Benewah,1,93,0,93,"1,000.20",20,1
Bingham,6,383,12,395,843.8,13.7,4
Blaine,5,575,18,593,"2,575.90",3.7,6
Boise,4,45,12,57,727.9,7.3,1
Bonner,1,190,6,196,428.5,1.6,
Bonneville,7,"1,211",268,"1,479","1,242.20",23.5,6
Boundary,1,42,0,42,343,3.5,
Butte,6,4,0,4,154,16.5,
Camas,5,2,0,2,180.8,12.9,
Canyon,3,"6,323",340,"6,663","2,898.90",18,62
Caribou,6,34,1,35,489.2,2,
Cassia,5,518,52,570,"2,372.00",14.9,1
Clark,7,12,3,15,"1,775.10",16.9,
Clearwater,2,19,1,20,228.4,4.9,
Custer,7,18,0,18,417.1,23.2,
Elmore,4,221,38,259,941.4,13,3
Franklin,6,48,6,54,389.2,2.1,
Fremont,7,85,12,97,740.5,3.3,1
Gem,3,181,21,202,"1,115.30",9.5,2
Gooding,5,170,24,194,"1,278.10",14.1,1
Idaho,2,39,0,39,234,4.3,
Jefferson,7,255,39,294,984.2,24.9,1
Jerome,5,487,59,546,"2,236.60",15.2,6
Kootenai,1,"2,042",15,"2,057","1,241.40",5.9,23
Latah,2,167,9,176,438.8,12.1,
Lemhi,7,49,13,62,772.4,28.5,
Lewis,2,6,0,6,156.3,3.7,
Lincoln,5,56,7,63,"1,174.10",5.3,
Madison,7,170,38,208,521.2,9.3,
Minidoka,5,488,37,525,"2,495.40",14.9,2
Nez Perce,2,211,16,227,561.8,17.3,19
Oneida,6,15,3,18,397.3,6.3,
Owyhee,3,261,26,287,"2,427.50",12.1,4
Payette,3,467,47,514,"2,146.00",35.8,4
Power,6,88,2,90,"1,171.70",40.9,
Shoshone,1,181,2,183,"1,420.60",15.5,9
Teton,7,100,16,116,955.4,23.5,
Twin Falls,5,"1,422",161,"1,583","1,822.10",11.4,33
Valley,4,74,3,77,675.9,2.5,1
Washington,3,239,14,253,"2,481.90",23.8,3
