County,Cases,Deaths,Date,HEALTH_DISTRICT
Ada,567,9,4/14/20,Central District Health
Adams,1,0,4/14/20,Southwest District Health
Bannock,8,0,4/14/20,Southeastern Idaho Public Health
Bear Lake,0,0,4/14/20,Southeastern Idaho Public Health
Benewah,0,0,4/14/20,Panhandle Health District
Bingham,2,0,4/14/20,Southeastern Idaho Public Health
Blaine,469,5,4/14/20,South Central Public Health District
Boise,0,0,4/14/20,Central District Health
Bonner,4,0,4/14/20,Panhandle Health District
Bonneville,24,0,4/14/20,Eastern Idaho Public Health
Boundary,0,0,4/14/20,Panhandle Health District
Butte,0,0,4/14/20,Southeastern Idaho Public Health
Camas,1,0,4/14/20,South Central Public Health District
Canyon,181,5,4/14/20,Southwest District Health
Caribou,1,0,4/14/20,Southeastern Idaho Public Health
Cassia,9,1,4/14/20,South Central Public Health District
Clark,0,0,4/14/20,Eastern Idaho Public Health
Clearwater,0,0,4/14/20,Public Health - Idaho North Central District
Custer,2,0,4/14/20,Eastern Idaho Public Health
Elmore,18,0,4/14/20,Central District Health
Franklin,0,0,4/14/20,Southeastern Idaho Public Health
Fremont,2,0,4/14/20,Eastern Idaho Public Health
Gem,10,0,4/14/20,Southwest District Health
Gooding,7,0,4/14/20,South Central Public Health District
Idaho,3,0,4/14/20,Public Health - Idaho North Central District
Jefferson,5,0,4/14/20,Eastern Idaho Public Health
Jerome,38,2,4/14/20,South Central Public Health District
Kootenai,48,0,4/14/20,Panhandle Health District
Latah,3,0,4/14/20,Public Health - Idaho North Central District
Lemhi,0,0,4/14/20,Eastern Idaho Public Health
Lewis,0,0,4/14/20,Public Health - Idaho North Central District
Lincoln,15,0,4/14/20,South Central Public Health District
Madison,8,0,4/14/20,Eastern Idaho Public Health
Minidoka,9,0,4/14/20,South Central Public Health District
Nez Perce,27,10,4/14/20,Public Health - Idaho North Central District
Oneida,0,0,4/14/20,Southeastern Idaho Public Health
Owyhee,4,0,4/14/20,Southwest District Health
Payette,10,1,4/14/20,Southwest District Health
Power,2,0,4/14/20,Southeastern Idaho Public Health
Shoshone,0,0,4/14/20,Panhandle Health District
Teton,7,0,4/14/20,Eastern Idaho Public Health
Twin Falls,99,8,4/14/20,South Central Public Health District
Valley,2,0,4/14/20,Central District Health
Washington,1,0,4/14/20,Southwest District Health
