County,Confirmed,Probable,Deaths,Date,HEALTH_DISTRICT
Ada,623,39,16,4/28/2020,Central District Health
Adams,3,0,0,4/28/2020,Southwest District Health
Bannock,7,3,0,4/28/2020,Southeastern Idaho Public Health
Bear Lake,0,0,0,4/28/2020,Southeastern Idaho Public Health
Benewah,0,0,0,4/28/2020,Panhandle Health District
Bingham,3,0,0,4/28/2020,Southeastern Idaho Public Health
Blaine,487,10,5,4/28/2020,South Central Public Health District
Boise,0,0,0,4/28/2020,Central District Health
Bonner,4,0,0,4/28/2020,Panhandle Health District
Bonneville,17,10,0,4/28/2020,Eastern Idaho Public Health
Boundary,0,0,0,4/28/2020,Panhandle Health District
Butte,0,0,0,4/28/2020,Southeastern Idaho Public Health
Camas,1,0,0,4/28/2020,South Central Public Health District
Canyon,232,18,6,4/28/2020,Southwest District Health
Caribou,1,0,0,4/28/2020,Southeastern Idaho Public Health
Cassia,12,0,1,4/28/2020,South Central Public Health District
Clark,0,0,0,4/28/2020,Eastern Idaho Public Health
Clearwater,0,0,0,4/28/2020,Public Health - Idaho North Central District
Custer,2,0,0,4/28/2020,Eastern Idaho Public Health
Elmore,28,2,2,4/28/2020,Central District Health
Franklin,0,0,0,4/28/2020,Southeastern Idaho Public Health
Fremont,2,0,0,4/28/2020,Eastern Idaho Public Health
Gem,10,2,0,4/28/2020,Southwest District Health
Gooding,8,1,0,4/28/2020,South Central Public Health District
Idaho,3,0,0,4/28/2020,Public Health - Idaho North Central District
Jefferson,4,1,0,4/28/2020,Eastern Idaho Public Health
Jerome,38,10,2,4/28/2020,South Central Public Health District
Kootenai,60,1,0,4/28/2020,Panhandle Health District
Latah,5,0,0,4/28/2020,Public Health - Idaho North Central District
Lemhi,1,0,0,4/28/2020,Eastern Idaho Public Health
Lewis,0,0,0,4/28/2020,Public Health - Idaho North Central District
Lincoln,22,2,0,4/28/2020,South Central Public Health District
Madison,6,3,0,4/28/2020,Eastern Idaho Public Health
Minidoka,8,3,0,4/28/2020,South Central Public Health District
Nez Perce,50,9,16,4/28/2020,Public Health - Idaho North Central District
Oneida,0,0,0,4/28/2020,Southeastern Idaho Public Health
Owyhee,8,0,0,4/28/2020,Southwest District Health
Payette,12,2,1,4/28/2020,Southwest District Health
Power,2,0,0,4/28/2020,Southeastern Idaho Public Health
Shoshone,0,0,0,4/28/2020,Panhandle Health District
Teton,8,1,0,4/28/2020,Eastern Idaho Public Health
Twin Falls,140,25,11,4/28/2020,South Central Public Health District
Valley,2,0,0,4/28/2020,Central District Health
Washington,1,0,0,4/28/2020,Southwest District Health
