County,Confirmed,Probable,Cases,Case Rate*,Deaths,Date
Ada,"2,839",161,"3,000",638.3,23,7/6/20
Adams,11,1,12,282.4,,7/6/20
Bannock,97,15,112,128.5,1,7/6/20
Bear Lake,2,,2,33.1,,7/6/20
Benewah,23,,23,249.3,,7/6/20
Bingham,48,2,50,108.1,1,7/6/20
Blaine,530,12,542,"2,398.10",5,7/6/20
Boise,5,,5,65.5,,7/6/20
Bonner,40,,40,89.4,,7/6/20
Bonneville,104,37,141,120.7,1,7/6/20
Boundary,1,,1,8.4,,7/6/20
Butte,,,0,,,7/6/20
Camas,1,,1,88.7,,7/6/20
Canyon,"1,316",83,"1,399",626,6,7/6/20
Caribou,10,1,11,155.8,,7/6/20
Cassia,246,39,285,"1,194.30",1,7/6/20
Clark,,,0,,,7/6/20
Clearwater,2,1,3,34.3,,7/6/20
Custer,4,,4,93.5,,7/6/20
Elmore,68,2,70,256.8,2,7/6/20
Franklin,25,2,27,,,7/6/20
Fremont,7,1,8,60.8,,7/6/20
Gem,34,5,39,221.2,,7/6/20
Gooding,56,10,66,434.3,1,7/6/20
Idaho,8,,8,48.4,,7/6/20
Jefferson,14,5,19,64.5,,7/6/20
Jerome,216,35,251,"1,045.20",5,7/6/20
Kootenai,437,3,440,272.4,1,7/6/20
Latah,22,5,27,67.3,,7/6/20
Lemhi,2,,2,25.1,,7/6/20
Lewis,1,,1,25.9,,7/6/20
Lincoln,32,4,36,671.6,,7/6/20
Madison,28,12,40,101.8,,7/6/20
Minidoka,196,26,222,"1,066.00",,7/6/20
Nez Perce,92,12,104,257.4,19,7/6/20
Oneida,4,,4,89.1,,7/6/20
Owyhee,42,11,53,453.3,,7/6/20
Payette,117,21,138,586,2,7/6/20
Power,15,2,17,218.8,,7/6/20
Shoshone,3,,3,23.4,,7/6/20
Teton,20,2,22,189,,7/6/20
Twin Falls,588,97,685,795.8,25,7/6/20
Unknown,1,,1,,,7/6/20
Valley,20,,20,181.1,,7/6/20
Washington,109,9,118,"1,161.30",1,7/6/20
