County,Public Health District,Confirmed,Probable,Cases,Cumulative Incidence Rate²,Daily 7-day Moving Average Incidence Rate³,Deaths
Ada,4,"9,913",649,"10,562","2,193.20",14.6,109
Adams,3,23,1,24,558.9,6.7,
Bannock,6,533,23,556,633.2,8.6,2
Bear Lake,6,24,1,25,408.2,9.3,
Benewah,1,95,0,95,"1,021.70",23.1,1
Bingham,6,384,12,396,846,13.7,4
Blaine,5,576,18,594,"2,580.30",4.3,6
Boise,4,45,12,57,727.9,5.5,1
Bonner,1,188,6,194,424.1,1.6,
Bonneville,7,"1,227",279,"1,506","1,264.90",23.5,6
Boundary,1,42,0,42,343,3.5,
Butte,6,4,0,4,154,16.5,
Camas,5,2,0,2,180.8,12.9,
Canyon,3,"6,388",347,"6,735","2,930.20",20.1,64
Caribou,6,34,1,35,489.2,2,
Cassia,5,518,52,570,"2,372.00",13.7,1
Clark,7,12,3,15,"1,775.10",16.9,
Clearwater,2,19,1,20,228.4,3.3,
Custer,7,18,0,18,417.1,23.2,
Elmore,4,221,38,259,941.4,12.5,3
Franklin,6,48,6,54,389.2,2.1,
Fremont,7,85,12,97,740.5,2.2,1
Gem,3,184,21,205,"1,131.80",10.3,2
Gooding,5,172,24,196,"1,291.30",15.1,1
Idaho,2,39,0,39,234,2.6,
Jefferson,7,260,39,299,"1,001.00",22,1
Jerome,5,499,61,560,"2,294.00",20.5,6
Kootenai,1,"2,047",15,"2,062","1,244.40",6.4,23
Latah,2,166,9,175,436.3,11.4,
Lemhi,7,50,13,63,784.9,26.7,
Lewis,2,6,0,6,156.3,3.7,
Lincoln,5,56,7,63,"1,174.10",2.7,
Madison,7,172,38,210,526.2,6.8,
Minidoka,5,488,37,525,"2,495.40",14.3,2
Nez Perce,2,211,16,227,561.8,17.3,19
Oneida,6,15,3,18,397.3,6.3,
Owyhee,3,264,26,290,"2,452.80",13.3,4
Payette,3,494,56,550,"2,296.40",56.1,4
Power,6,88,2,90,"1,171.70",39.1,
Shoshone,1,181,2,183,"1,420.60",15.5,9
Teton,7,101,16,117,963.6,24.7,
Twin Falls,5,"1,428",161,"1,589","1,829.00",11.8,33
Valley,4,75,3,78,684.7,2.5,1
Washington,3,240,14,254,"2,491.70",22.4,3
